country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
American Samoa,2019,55312,-0.28 %,-153,277,87.8 %,48565,0.00 %,7713468100,210
American Samoa,2018,55465,-0.28 %,-155,277,87.5 %,48526,0.00 %,7631091040,210
American Samoa,2017,55620,-0.22 %,-121,278,87.2 %,48502,0.00 %,7547858925,210
American Samoa,2016,55741,-0.13 %,-71,279,87 %,48481,0 %,7464022049,210
American Samoa,2015,55812,-0.1 %,-53,279,86.8 %,48449,0 %,7379797139,209
American Samoa,2010,56079,-1.2 %,-697,280,86.9 %,48735,0 %,6956823603,209
American Samoa,2005,59562,0.6 %,348,298,87.4 %,52083,0 %,6541907027,206
American Samoa,2000,57821,1.69 %,932,289,88.1 %,50956,0 %,6143493823,206
American Samoa,1995,53161,2.34 %,1163,266,84.8 %,45086,0 %,5744212979,207
American Samoa,1990,47347,3.68 %,1566,237,80.4 %,38076,0 %,5327231061,207
American Samoa,1985,39519,3.9 %,1375,198,77.2 %,30515,0 %,4870921740,209
American Samoa,1980,32646,1.67 %,519,163,73.9 %,24125,0 %,4458003514,209
American Samoa,1975,30052,1.89 %,538,150,72.1 %,21657,0 %,4079480606,210
American Samoa,1970,27363,2.94 %,738,137,70.2 %,19209,0 %,3700437046,209
American Samoa,1965,23672,3.3 %,710,118,53.3 %,12613,0 %,3339583597,208
American Samoa,1960,20123,0.37 %,74,101,65.9 %,13251,0 %,3034949748,210
American Samoa,1955,19754,0.85 %,163,99,63.9 %,12613,0 %,2773019936,208
