country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Andorra,2019,77142,0.18 %,136,164,87.9 %,67811,0.00 %,7713468100,203
Andorra,2018,77006,0.01 %,5,164,88 %,67766,0.00 %,7631091040,203
Andorra,2017,77001,-0.38 %,-296,164,88.1 %,67845,0.00 %,7547858925,203
Andorra,2016,77297,-0.92 %,-714,164,88.2 %,68199,0 %,7464022049,203
Andorra,2015,78011,-1.57 %,-1288,166,88.3 %,68921,0 %,7379797139,203
Andorra,2010,84449,1.38 %,1116,180,88.8 %,75007,0 %,6956823603,203
Andorra,2005,78867,3.82 %,2695,168,90.3 %,71205,0 %,6541907027,203
Andorra,2000,65390,0.48 %,308,139,92.4 %,60417,0 %,6143493823,204
Andorra,1995,63850,3.21 %,1868,136,93.7 %,59803,0 %,5744212979,204
Andorra,1990,54509,4.09 %,1982,116,94.7 %,51627,0 %,5327231061,206
Andorra,1985,44600,4.34 %,1707,95,95.2 %,42441,0 %,4870921740,207
Andorra,1980,36067,3.27 %,1072,77,92.1 %,33205,0 %,4458003514,208
Andorra,1975,30705,4.81 %,1286,65,87.3 %,26791,0 %,4079480606,208
Andorra,1970,24276,5.53 %,1145,52,80.2 %,19458,0 %,3700437046,210
Andorra,1965,18549,6.7 %,1028,39,24.2 %,4484,0 %,3339583597,216
Andorra,1960,13411,7.75 %,836,29,58.5 %,7839,0 %,3034949748,215
Andorra,1955,9232,8.3 %,607,20,48.6 %,4484,0 %,2773019936,216
