country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Angola,2020,32866272,3.27 %,1040977,6413,16.7,5.55,26,66.7 %,21936953,0.42 %,7794798739,44
Angola,2019,31825295,3.30 %,1015508,6413,16.4,5.91,26,66.1 %,21035940,0.41 %,7713468100,45
Angola,2018,30809787,3.33 %,993021,6413,16.4,5.91,25,65.4 %,20161538,0.40 %,7631091040,45
Angola,2017,29816766,3.38 %,974277,6413,16.4,5.91,24,64.8 %,19311639,0.40 %,7547858925,45
Angola,2016,28842489,3.44 %,958108,6413,16.4,5.91,23,64.1 %,18483603,0.39 %,7464022049,46
Angola,2015,27884381,3.61 %,905627,33253,16.4,6.00,22,63.4 %,17675745,0.38 %,7379797139,46
Angola,2010,23356246,3.75 %,784529,71460,16.4,6.35,19,59.8 %,13970854,0.34 %,6956823603,50
Angola,2005,19433602,3.46 %,607626,52220,16.4,6.55,16,56.3 %,10949424,0.30 %,6541907027,55
Angola,2000,16395473,3.29 %,490053,39960,16.3,6.75,13,50.2 %,8234824,0.27 %,6143493823,57
Angola,1995,13945206,3.31 %,419364,28562,16.1,7.10,11,45.2 %,6302478,0.24 %,5744212979,60
Angola,1990,11848386,3.53 %,377278,37698,16.1,7.40,10,38.2 %,4520997,0.22 %,5327231061,59
Angola,1985,9961997,3.62 %,324142,46830,16.3,7.46,8,32.3 %,3218567,0.20 %,4870921740,64
Angola,1980,8341289,3.50 %,263458,39960,16.8,7.46,7,26.0 %,2169810,0.19 %,4458003514,69
Angola,1975,7024000,3.58 %,226727,39960,16.9,7.50,6,20.9 %,1469515,0.17 %,4079480606,72
Angola,1970,5890365,0.41 %,23959,-117457,17.6,7.30,5,17.2 %,1013531,0.16 %,3700437046,75
Angola,1965,5770570,1.13 %,63127,-59343,18.4,6.90,5,13.4 %,775667,0.17 %,3339583597,68
Angola,1960,5454933,1.58 %,82337,-34577,20.2,6.50,4,10.8 %,588842,0.18 %,3034949748,68
Angola,1955,5043247,2.09 %,99045,0,19.6,6.00,4,9.0 %,455428,0.18 %,2773019936,68
