country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Antigua And Barbuda,2020,97929,0.84 %,811,0,34.0,2.00,223,26.2 %,25682,0.00 %,7794798739,201
Antigua And Barbuda,2019,97118,0.86 %,832,0,32.8,2.00,221,26.3 %,25507,0.00 %,7713468100,201
Antigua And Barbuda,2018,96286,0.90 %,860,0,32.8,2.00,219,26.3 %,25350,0.00 %,7631091040,201
Antigua And Barbuda,2017,95426,0.95 %,899,0,32.8,2.00,217,26.4 %,25210,0.00 %,7547858925,201
Antigua And Barbuda,2016,94527,1.03 %,961,0,32.8,2.00,215,26.5 %,25085,0.00 %,7464022049,201
Antigua And Barbuda,2015,93566,1.23 %,1108,189,32.6,2.00,213,26.7 %,24981,0.00 %,7379797139,201
Antigua And Barbuda,2010,88028,1.56 %,1313,377,31.1,2.00,200,28.2 %,24837,0.00 %,6956823603,201
Antigua And Barbuda,2005,81465,1.39 %,1090,50,29.5,2.16,185,32.0 %,26078,0.00 %,6541907027,201
Antigua And Barbuda,2000,76016,2.05 %,1469,494,28.1,2.20,173,35.3 %,26853,0.00 %,6143493823,202
Antigua And Barbuda,1995,68670,1.89 %,1228,446,26.5,2.09,156,36.4 %,25002,0.00 %,5744212979,203
Antigua And Barbuda,1990,62528,0.24 %,148,-578,25.2,2.07,142,37.8 %,23628,0.00 %,5327231061,202
Antigua And Barbuda,1985,61786,-0.03 %,-16,-753,23.1,2.14,140,39.6 %,24438,0.00 %,4870921740,203
Antigua And Barbuda,1980,61865,-0.26 %,-162,-886,21.0,2.24,141,41.1 %,25424,0.00 %,4458003514,200
Antigua And Barbuda,1975,62675,-0.47 %,-300,-1404,19.0,3.26,142,39.1 %,24503,0.00 %,4079480606,197
Antigua And Barbuda,1970,64177,1.80 %,1096,-240,17.4,4.00,146,35.4 %,22692,0.00 %,3700437046,196
Antigua And Barbuda,1965,58698,1.63 %,913,-376,17.8,4.30,133,37.9 %,22252,0.00 %,3339583597,194
Antigua And Barbuda,1960,54131,1.74 %,897,-300,18.5,4.50,123,40.5 %,21945,0.00 %,3034949748,194
Antigua And Barbuda,1955,49648,1.75 %,826,-195,18.8,4.50,113,37.2 %,18455,0.00 %,2773019936,194
