country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Bahamas,2020,393244,0.97 %,3762,1000,32.3,1.76,39,86.1 %,338674,0.01 %,7794798739,178
Bahamas,2019,389482,1.00 %,3845,1000,31.1,1.80,39,86.0 %,335099,0.01 %,7713468100,178
Bahamas,2018,385637,1.02 %,3882,1000,31.1,1.80,39,86.0 %,331506,0.01 %,7631091040,177
Bahamas,2017,381755,1.01 %,3825,1000,31.1,1.80,38,85.9 %,327853,0.01 %,7547858925,177
Bahamas,2016,377930,1.00 %,3724,1000,31.1,1.80,38,85.7 %,324066,0.01 %,7464022049,177
Bahamas,2015,374206,1.06 %,3853,1000,30.9,1.81,37,85.5 %,320094,0.01 %,7379797139,178
Bahamas,2010,354942,1.79 %,6017,2907,29.4,1.91,35,83.8 %,297422,0.01 %,6956823603,178
Bahamas,2005,324859,1.74 %,5362,2375,28.1,1.87,32,83.3 %,270701,0.00 %,6541907027,177
Bahamas,2000,298051,1.24 %,3573,-600,27.0,2.33,30,82.0 %,244291,0.00 %,6143493823,177
Bahamas,1995,280184,1.80 %,4792,-64,25.0,2.64,28,81.0 %,226812,0.00 %,5744212979,176
Bahamas,1990,256223,1.78 %,4329,-162,23.6,2.65,26,79.9 %,204654,0.00 %,5327231061,177
Bahamas,1985,234578,2.18 %,4797,129,21.8,3.05,23,76.7 %,179943,0.00 %,4870921740,177
Bahamas,1980,210591,2.20 %,4339,596,20.2,2.95,21,73.1 %,153998,0.00 %,4458003514,177
Bahamas,1975,188896,2.21 %,3904,190,19.7,3.54,19,70.0 %,132250,0.00 %,4079480606,176
Bahamas,1970,169377,3.87 %,5864,2786,19.1,3.58,17,66.8 %,113068,0.00 %,3700437046,174
Bahamas,1965,140059,5.04 %,6105,2775,18.7,4.50,14,63.3 %,88715,0.00 %,3339583597,177
Bahamas,1960,109534,4.33 %,4181,1576,19.3,4.31,11,59.7 %,65401,0.00 %,3034949748,175
Bahamas,1955,88631,2.30 %,1908,-184,20.1,4.05,9,55.9 %,49566,0.00 %,2773019936,177
