country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Bangladesh,2020,164689383,1.01 %,1643222,-369501,27.6,2.05,1265,39.4 %,64814953,2.11 %,7794798739,8
Bangladesh,2019,163046161,1.03 %,1669453,-369501,26.1,2.18,1253,38.6 %,62865820,2.11 %,7713468100,8
Bangladesh,2018,161376708,1.06 %,1691284,-369501,26.1,2.18,1240,37.8 %,60944245,2.11 %,7631091040,8
Bangladesh,2017,159685424,1.08 %,1708271,-369501,26.1,2.18,1227,37.0 %,59046818,2.12 %,7547858925,8
Bangladesh,2016,157977153,1.10 %,1720877,-369501,26.1,2.18,1214,36.2 %,57168030,2.12 %,7464022049,8
Bangladesh,2015,156256276,1.15 %,1736169,-461368,25.7,2.21,1200,35.4 %,55305132,2.12 %,7379797139,8
Bangladesh,2010,147575430,1.20 %,1707985,-650956,24.0,2.48,1134,31.4 %,46347089,2.12 %,6956823603,8
Bangladesh,2005,139035505,1.72 %,2275530,-298507,22.5,2.94,1068,27.7 %,38452976,2.13 %,6541907027,8
Bangladesh,2000,127657854,2.08 %,2497585,-143980,21.0,3.43,981,24.3 %,31040651,2.08 %,6143493823,8
Bangladesh,1995,115169930,2.22 %,2399595,-162759,19.6,4.06,885,22.4 %,25751454,2.00 %,5744212979,9
Bangladesh,1990,103171956,2.60 %,2481555,-43873,18.6,4.98,793,20.4 %,21037450,1.94 %,5327231061,9
Bangladesh,1985,90764183,2.65 %,2224938,-158765,17.8,5.98,697,18.0 %,16305971,1.86 %,4870921740,9
Bangladesh,1980,79639491,2.59 %,1914638,-227469,17.4,6.63,612,15.2 %,12099053,1.79 %,4458003514,8
Bangladesh,1975,70066301,1.75 %,1166764,-609057,17.7,6.91,538,10.0 %,7013461,1.72 %,4079480606,9
Bangladesh,1970,64232482,3.01 %,1769474,-32364,17.8,6.92,493,7.7 %,4938975,1.74 %,3700437046,9
Bangladesh,1965,55385112,2.90 %,1474322,-28476,18.4,6.80,425,6.3 %,3467675,1.66 %,3339583597,12
Bangladesh,1960,48013504,2.67 %,1185441,297,19.0,6.62,369,5.2 %,2474987,1.58 %,3034949748,11
Bangladesh,1955,42086301,2.12 %,838324,-11019,19.3,6.36,323,4.7 %,1974441,1.52 %,2773019936,12
