country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Barbados,2020,287375,0.12 %,350,-79,40.5,1.62,668,31.2 %,89695,0.00 %,7794798739,183
Barbados,2019,287025,0.13 %,384,-79,39.3,1.63,668,31.2 %,89426,0.00 %,7713468100,183
Barbados,2018,286641,0.14 %,409,-79,39.3,1.63,667,31.1 %,89201,0.00 %,7631091040,182
Barbados,2017,286232,0.15 %,436,-79,39.3,1.63,666,31.1 %,89026,0.00 %,7547858925,181
Barbados,2016,285796,0.17 %,472,-79,39.3,1.63,665,31.1 %,88898,0.00 %,7464022049,181
Barbados,2015,285324,0.23 %,639,-79,39.0,1.63,664,31.1 %,88815,0.00 %,7379797139,181
Barbados,2010,282131,0.42 %,1162,-50,37.3,1.75,656,31.6 %,89099,0.00 %,6956823603,181
Barbados,2005,276323,0.35 %,962,-638,35.5,1.80,643,32.6 %,89988,0.00 %,6541907027,181
Barbados,2000,271515,0.41 %,1112,-729,33.7,1.74,631,33.6 %,91281,0.00 %,6143493823,180
Barbados,1995,265955,0.38 %,1004,-1079,31.2,1.73,619,35.4 %,94236,0.00 %,5744212979,178
Barbados,1990,260936,0.36 %,935,-1262,28.4,1.77,607,37.3 %,97406,0.00 %,5327231061,175
Barbados,1985,256263,0.30 %,774,-1571,26.3,1.92,596,38.7 %,99134,0.01 %,4870921740,175
Barbados,1980,252394,0.50 %,1248,-1110,24.4,2.16,587,40.1 %,101136,0.01 %,4458003514,171
Barbados,1975,246154,0.60 %,1452,-1387,23.7,2.72,572,38.8 %,95596,0.01 %,4079480606,171
Barbados,1970,238896,0.29 %,697,-2735,21.2,3.53,556,37.5 %,89687,0.01 %,3700437046,169
Barbados,1965,235413,0.38 %,887,-3592,20.7,4.27,547,37.1 %,87420,0.01 %,3339583597,165
Barbados,1960,230980,0.34 %,768,-3726,22.4,4.30,537,36.8 %,84932,0.01 %,3034949748,166
Barbados,1955,227138,1.49 %,3229,-1192,24.2,4.42,528,36.4 %,82687,0.01 %,2773019936,165
