country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Bhutan,2020,771608,1.12 %,8516,320,28.1,2.00,20,45.8 %,353445,0.01 %,7794798739,165
Bhutan,2019,763092,1.15 %,8704,320,26.2,2.10,20,45.1 %,343810,0.01 %,7713468100,165
Bhutan,2018,754388,1.18 %,8825,320,26.2,2.10,20,44.3 %,334138,0.01 %,7631091040,165
Bhutan,2017,745563,1.20 %,8855,320,26.2,2.10,20,43.5 %,324393,0.01 %,7547858925,165
Bhutan,2016,736708,1.21 %,8832,320,26.2,2.10,19,42.7 %,314540,0.01 %,7464022049,165
Bhutan,2015,727876,1.21 %,8475,60,25.7,2.12,19,41.8 %,304542,0.01 %,7379797139,165
Bhutan,2010,685503,1.11 %,7353,-2194,23.3,2.55,18,36.9 %,253171,0.01 %,6956823603,165
Bhutan,2005,648739,1.88 %,11544,1234,21.4,3.10,17,31.3 %,203329,0.01 %,6541907027,164
Bhutan,2000,591021,2.03 %,11280,29,19.5,4.00,16,24.7 %,145753,0.01 %,6143493823,165
Bhutan,1995,534620,0.14 %,763,-11713,18.4,5.00,14,19.8 %,105741,0.01 %,5744212979,163
Bhutan,1990,530804,2.71 %,13308,319,18.1,5.90,14,16.6 %,88052,0.01 %,5327231061,162
Bhutan,1985,464266,2.67 %,11478,159,18.0,6.35,12,13.0 %,60459,0.01 %,4870921740,161
Bhutan,1980,406875,3.15 %,11696,2003,18.3,6.60,11,10.2 %,41458,0.01 %,4458003514,161
Bhutan,1975,348396,3.22 %,10216,2000,18.5,6.60,9,7.9 %,27566,0.01 %,4079480606,163
Bhutan,1970,297316,3.20 %,8664,2000,18.9,6.60,8,6.1 %,18165,0.01 %,3700437046,166
Bhutan,1965,253994,2.61 %,6141,1000,18.9,6.60,7,4.7 %,11927,0.01 %,3339583597,166
Bhutan,1960,223288,2.49 %,5166,1000,18.8,6.67,6,3.6 %,8029,0.01 %,3034949748,167
Bhutan,1955,197457,2.23 %,4132,1000,18.5,6.67,5,2.8 %,5431,0.01 %,2773019936,166
