country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Burundi,2020,11890784,3.12 %,360204,2001,17.3,5.45,463,13.8 %,1636586,0.15 %,7794798739,78
Burundi,2019,11530580,3.18 %,355206,2001,17.2,5.85,449,13.4 %,1547197,0.15 %,7713468100,80
Burundi,2018,11175374,3.22 %,348355,2001,17.2,5.85,435,13.1 %,1461704,0.15 %,7631091040,82
Burundi,2017,10827019,3.23 %,339024,2001,17.2,5.85,422,12.7 %,1380418,0.14 %,7547858925,84
Burundi,2016,10487995,3.23 %,327965,2001,17.2,5.85,408,12.4 %,1303761,0.14 %,7464022049,86
Burundi,2015,10160030,3.21 %,296886,-14000,17.1,5.95,396,12.1 %,1231911,0.14 %,7379797139,88
Burundi,2010,8675602,3.33 %,262148,6001,17.0,6.39,338,10.8 %,932971,0.12 %,6956823603,93
Burundi,2005,7364862,2.92 %,197198,-4944,16.2,6.77,287,9.4 %,695940,0.11 %,6541907027,97
Burundi,2000,6378871,1.28 %,78366,-91061,15.0,7.05,248,8.3 %,527819,0.10 %,6143493823,97
Burundi,1995,5987043,1.94 %,109617,-64000,14.9,7.30,233,7.2 %,429900,0.10 %,5744212979,94
Burundi,1990,5438957,2.74 %,137624,-36001,16.1,7.46,212,6.2 %,339609,0.10 %,5327231061,96
Burundi,1985,4750837,2.71 %,118708,-27829,16.9,7.38,185,5.2 %,245514,0.10 %,4870921740,101
Burundi,1980,4157298,2.35 %,91284,-30058,17.4,7.40,162,4.3 %,178649,0.09 %,4458003514,103
Burundi,1975,3700880,1.24 %,44361,-53299,17.0,7.26,144,3.5 %,129408,0.09 %,4079480606,105
Burundi,1970,3479074,2.37 %,76939,-11580,17.1,7.23,135,2.8 %,98327,0.09 %,3700437046,104
Burundi,1965,3094379,2.03 %,59289,-16998,17.6,7.05,120,2.3 %,70605,0.09 %,3339583597,103
Burundi,1960,2797932,1.98 %,52155,-14010,18.3,6.86,109,2.1 %,57866,0.09 %,3034949748,103
Burundi,1955,2537157,1.90 %,45647,-13989,18.9,6.80,99,1.9 %,48001,0.09 %,2773019936,103
