country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Cambodia,2020,16718965,1.41 %,232423,-30000,25.6,2.52,95,24.2 %,4050459,0.21 %,7794798739,71
Cambodia,2019,16486542,1.46 %,236750,-30000,24.3,2.66,93,23.8 %,3923699,0.21 %,7713468100,70
Cambodia,2018,16249792,1.50 %,240383,-30000,24.3,2.66,92,23.4 %,3799521,0.21 %,7631091040,70
Cambodia,2017,16009409,1.54 %,243117,-30000,24.3,2.66,91,23.0 %,3678035,0.21 %,7547858925,70
Cambodia,2016,15766292,1.58 %,244856,-30000,24.3,2.66,89,22.6 %,3559463,0.21 %,7464022049,70
Cambodia,2015,15521436,1.64 %,241845,-30000,24.0,2.70,88,22.2 %,3443036,0.21 %,7379797139,70
Cambodia,2010,14312212,1.52 %,207772,-59197,22.7,3.08,81,20.3 %,2903806,0.21 %,6956823603,69
Cambodia,2005,13273354,1.78 %,223623,-7031,20.4,3.44,75,19.2 %,2544414,0.20 %,6541907027,66
Cambodia,2000,12155239,2.67 %,299820,69699,18.1,4.25,69,18.6 %,2258686,0.20 %,6143493823,64
Cambodia,1995,10656138,3.49 %,336108,81883,17.3,5.13,60,17.3 %,1844262,0.19 %,5744212979,67
Cambodia,1990,8975597,3.07 %,252143,-15604,17.9,5.99,51,15.5 %,1395017,0.17 %,5327231061,75
Cambodia,1985,7714880,2.88 %,204223,-17771,18.5,6.37,44,13.9 %,1074486,0.16 %,4870921740,78
Cambodia,1980,6693764,-2.31 %,-166137,-17000,19.1,5.42,38,9.9 %,662376,0.15 %,4458003514,79
Cambodia,1975,7524447,1.47 %,105574,-25000,17.6,6.16,43,4.5 %,336810,0.18 %,4079480606,69
Cambodia,1970,6996576,1.59 %,105876,-49684,17.0,6.70,40,16.0 %,1117077,0.19 %,3700437046,67
Cambodia,1965,6467197,2.48 %,148965,0,16.7,6.95,37,10.8 %,700389,0.19 %,3339583597,67
Cambodia,1960,5722370,2.55 %,135416,0,17.2,6.95,32,10.3 %,588531,0.19 %,3034949748,67
Cambodia,1955,5045288,2.62 %,122515,0,17.9,6.95,29,10.2 %,516753,0.18 %,2773019936,67
