country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Canada,2020,37742154,0.89 %,331107,242032,41.1,1.53,4,81.3 %,30670064,0.48 %,7794798739,39
Canada,2019,37411047,0.91 %,336485,242032,40.5,1.59,4,81.2 %,30376281,0.49 %,7713468100,39
Canada,2018,37074562,0.93 %,342467,242032,40.5,1.59,4,81.1 %,30084496,0.49 %,7631091040,39
Canada,2017,36732095,0.96 %,349151,242032,40.5,1.59,4,81.1 %,29793946,0.49 %,7547858925,38
Canada,2016,36382944,0.99 %,356268,242032,40.5,1.59,4,81.1 %,29503542,0.49 %,7464022049,38
Canada,2015,36026676,1.08 %,375822,248283,40.4,1.60,4,81.1 %,29212401,0.49 %,7379797139,37
Canada,2010,34147564,1.20 %,396651,265286,39.6,1.64,4,81.0 %,27655231,0.49 %,6956823603,36
Canada,2005,32164309,1.01 %,315185,210403,38.6,1.52,4,80.4 %,25869853,0.49 %,6541907027,35
Canada,2000,30588383,0.96 %,284846,156707,36.8,1.56,3,79.9 %,24428073,0.50 %,6143493823,35
Canada,1995,29164152,1.15 %,324567,138111,34.8,1.69,3,78.1 %,22782132,0.51 %,5744212979,33
Canada,1990,27541319,1.36 %,359302,171843,32.9,1.62,3,77.0 %,21207473,0.52 %,5327231061,32
Canada,1985,25744810,1.06 %,265585,74788,31.0,1.63,3,76.7 %,19755707,0.53 %,4870921740,32
Canada,1980,24416886,1.15 %,271524,84127,29.2,1.73,3,76.0 %,18565807,0.55 %,4458003514,32
Canada,1975,23059265,1.53 %,336988,151621,27.5,1.98,3,75.9 %,17508653,0.57 %,4079480606,31
Canada,1970,21374326,1.72 %,349269,122223,26.1,2.61,2,75.9 %,16229750,0.58 %,3700437046,31
Canada,1965,19627980,1.92 %,356115,35738,25.5,3.68,2,73.2 %,14362464,0.59 %,3339583597,30
Canada,1960,17847405,2.63 %,434728,112960,26.5,3.88,2,69.3 %,12373883,0.59 %,3034949748,30
Canada,1955,15673763,2.68 %,388072,111156,27.3,3.65,2,66.0 %,10340832,0.57 %,2773019936,30
