country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Channel Islands,2020,173863,0.93 %,1604,1351,42.6,1.50,915,29.8 %,51888,0.00 %,7794798739,190
Channel Islands,2019,172259,1.03 %,1760,1351,41.8,1.57,907,30.0 %,51601,0.00 %,7713468100,190
Channel Islands,2018,170499,1.09 %,1834,1351,41.8,1.57,897,30.1 %,51343,0.00 %,7631091040,190
Channel Islands,2017,168665,1.04 %,1742,1351,41.8,1.57,888,30.3 %,51105,0.00 %,7547858925,190
Channel Islands,2016,166923,0.93 %,1538,1351,41.8,1.57,879,30.5 %,50893,0.00 %,7464022049,190
Channel Islands,2015,165385,0.70 %,1130,714,41.6,1.58,870,30.7 %,50703,0.00 %,7379797139,190
Channel Islands,2010,159734,1.04 %,1611,1194,41.0,1.56,841,31.0 %,49556,0.00 %,6956823603,190
Channel Islands,2005,151678,0.43 %,647,303,39.8,1.47,798,31.3 %,47434,0.00 %,6541907027,191
Channel Islands,2000,148443,0.68 %,992,458,38.2,1.58,781,30.5 %,45309,0.00 %,6143493823,190
Channel Islands,1995,143484,0.40 %,563,234,36.8,1.52,755,30.6 %,43965,0.00 %,5744212979,189
Channel Islands,1990,140671,1.01 %,1373,1217,36.0,1.45,740,31.4 %,44159,0.00 %,5327231061,187
Channel Islands,1985,133808,0.86 %,1119,1076,35.8,1.44,704,31.8 %,42594,0.00 %,4870921740,186
Channel Islands,1980,128212,0.28 %,359,345,34.9,1.52,675,32.2 %,41296,0.00 %,4458003514,186
Channel Islands,1975,126415,0.85 %,1044,850,34.5,1.86,665,34.2 %,43213,0.00 %,4079480606,185
Channel Islands,1970,121197,1.06 %,1240,776,35.2,2.36,638,36.1 %,43738,0.00 %,3700437046,181
Channel Islands,1965,114995,1.00 %,1115,587,36.1,2.56,605,37.4 %,42991,0.00 %,3339583597,174
Channel Islands,1960,109420,0.71 %,762,450,36.6,2.22,576,38.7 %,42346,0.00 %,3034949748,176
Channel Islands,1955,105609,0.65 %,675,437,36.1,2.06,556,40.0 %,42278,0.00 %,2773019936,174
