country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Chile,2020,19116201,0.87 %,164163,111708,35.3,1.65,26,84.8 %,16205574,0.25 %,7794798739,63
Chile,2019,18952038,1.19 %,222878,111708,34.1,1.81,25,84.8 %,16070807,0.25 %,7713468100,62
Chile,2018,18729160,1.40 %,258721,111708,34.1,1.81,25,85.1 %,15934214,0.25 %,7631091040,62
Chile,2017,18470439,1.44 %,261371,111708,34.1,1.81,25,85.5 %,15796168,0.24 %,7547858925,62
Chile,2016,18209068,1.33 %,239715,111708,34.1,1.81,24,86.0 %,15657149,0.24 %,7464022049,61
Chile,2015,17969353,1.04 %,181363,32746,33.8,1.85,24,86.4 %,15517478,0.24 %,7379797139,62
Chile,2010,17062536,1.06 %,175963,21434,32.2,1.90,23,86.7 %,14796864,0.25 %,6956823603,60
Chile,2005,16182721,1.07 %,168074,8466,30.5,1.95,22,86.6 %,14012965,0.25 %,6541907027,61
Chile,2000,15342353,1.30 %,192297,3868,28.7,2.20,21,85.6 %,13137147,0.25 %,6143493823,61
Chile,1995,14380866,1.61 %,221249,722,27.0,2.52,19,84.0 %,12087036,0.25 %,5744212979,57
Chile,1990,13274623,1.61 %,203477,-13730,25.7,2.60,18,83.1 %,11026799,0.25 %,5327231061,54
Chile,1985,12257236,1.43 %,167578,-30904,24.3,2.63,16,82.1 %,10064404,0.25 %,4870921740,55
Chile,1980,11419348,1.51 %,165408,-29660,22.9,2.94,15,80.2 %,9153051,0.26 %,4458003514,54
Chile,1975,10592307,1.60 %,161835,-32252,21.6,3.47,14,77.2 %,8179999,0.26 %,4079480606,53
Chile,1970,9783134,1.71 %,158703,-39300,20.6,4.08,13,73.5 %,7194621,0.26 %,3700437046,54
Chile,1965,8989621,2.02 %,171326,-29380,20.4,4.58,12,68.7 %,6178103,0.27 %,3339583597,53
Chile,1960,8132990,2.12 %,162068,-25822,20.6,4.75,11,64.4 %,5234614,0.27 %,3034949748,54
Chile,1955,7322652,2.10 %,144826,-24791,20.7,4.85,10,59.7 %,4368840,0.26 %,2773019936,53
