country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Cote D Ivoire,2020,26378274,2.57 %,661730,-8000,18.9,4.68,83,51.3 %,13532312,0.34 %,7794798739,53
Cote D Ivoire,2019,25716544,2.58 %,647314,-8000,18.4,4.89,81,50.9 %,13081753,0.33 %,7713468100,53
Cote D Ivoire,2018,25069230,2.59 %,631760,-8000,18.4,4.89,79,50.4 %,12646820,0.33 %,7631091040,54
Cote D Ivoire,2017,24437470,2.58 %,614756,-8000,18.4,4.89,77,50.0 %,12226563,0.32 %,7547858925,55
Cote D Ivoire,2016,23822714,2.57 %,596571,-8000,18.4,4.89,75,49.6 %,11819749,0.32 %,7464022049,55
Cote D Ivoire,2015,23226143,2.50 %,538639,-16000,18.3,4.95,73,49.2 %,11425679,0.31 %,7379797139,56
Cote D Ivoire,2010,20532950,2.27 %,435687,-40000,17.9,5.25,65,47.0 %,9655958,0.30 %,6956823603,56
Cote D Ivoire,2005,18354514,2.21 %,379969,-60000,17.8,5.68,58,45.2 %,8294189,0.28 %,6541907027,57
Cote D Ivoire,2000,16454668,2.99 %,450981,36000,18.0,6.05,52,43.8 %,7201037,0.27 %,6143493823,55
Cote D Ivoire,1995,14199762,3.55 %,454977,75000,17.8,6.41,45,42.2 %,5992300,0.25 %,5744212979,59
Cote D Ivoire,1990,11924877,3.75 %,401336,63827,17.5,6.85,37,40.5 %,4826807,0.22 %,5327231061,58
Cote D Ivoire,1985,9918196,4.30 %,376909,85500,17.5,7.31,31,39.1 %,3875349,0.20 %,4870921740,66
Cote D Ivoire,1980,8033650,4.61 %,324249,80664,17.5,7.81,25,38.0 %,3054484,0.18 %,4458003514,71
Cote D Ivoire,1975,6412403,4.68 %,262068,78608,17.8,7.93,20,33.2 %,2129866,0.16 %,4079480606,77
Cote D Ivoire,1970,5102064,3.84 %,175044,40141,17.8,7.90,16,28.9 %,1476401,0.14 %,3700437046,81
Cote D Ivoire,1965,4226844,3.82 %,144658,40141,18.6,7.76,13,25.1 %,1058839,0.13 %,3339583597,92
Cote D Ivoire,1960,3503553,3.12 %,99826,20103,18.9,7.62,11,18.0 %,629178,0.12 %,3034949748,91
Cote D Ivoire,1955,3004421,2.70 %,74857,13876,18.8,7.45,9,13.2 %,397478,0.11 %,2773019936,92
