country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Djibouti,2020,988000,1.48 %,14440,900,26.6,2.76,43,79.0 %,780538,0.01 %,7794798739,160
Djibouti,2019,973560,1.53 %,14637,900,25.3,3.03,42,78.9 %,768001,0.01 %,7713468100,160
Djibouti,2018,958923,1.57 %,14824,900,25.3,3.03,41,78.8 %,755533,0.01 %,7631091040,160
Djibouti,2017,944099,1.61 %,14987,900,25.3,3.03,41,78.7 %,743079,0.01 %,7547858925,160
Djibouti,2016,929112,1.65 %,15119,900,25.3,3.03,40,78.6 %,730569,0.01 %,7464022049,160
Djibouti,2015,913993,1.70 %,14759,1200,25.0,3.10,39,78.6 %,717972,0.01 %,7379797139,160
Djibouti,2010,840198,1.41 %,11389,-2444,23.4,3.55,36,78.0 %,655376,0.01 %,6956823603,161
Djibouti,2005,783254,1.77 %,13134,-1799,20.1,4.21,34,76.8 %,601236,0.01 %,6541907027,161
Djibouti,2000,717584,2.62 %,17439,1998,19.3,4.81,31,76.5 %,549178,0.01 %,6143493823,160
Djibouti,1995,630388,1.32 %,7998,-9000,18.1,5.85,27,76.3 %,480987,0.01 %,5744212979,160
Djibouti,1990,590398,6.76 %,32957,18000,17.4,6.18,25,76.0 %,448449,0.01 %,5327231061,161
Djibouti,1985,425613,3.47 %,13331,2000,17.2,6.45,18,74.9 %,318890,0.01 %,4870921740,162
Djibouti,1980,358960,9.87 %,26955,18239,16.5,6.64,15,72.1 %,258795,0.01 %,4458003514,165
Djibouti,1975,224183,7.02 %,12905,6999,16.6,6.85,10,67.1 %,150521,0.01 %,4079480606,173
Djibouti,1970,159659,6.79 %,8939,5000,17.5,6.71,7,61.8 %,98633,0.00 %,3700437046,176
Djibouti,1965,114963,6.57 %,6265,3600,18.0,6.55,5,56.1 %,64504,0.00 %,3339583597,184
Djibouti,1960,83636,3.75 %,2809,1000,18.0,6.39,4,50.3 %,42090,0.00 %,3034949748,183
Djibouti,1955,69589,2.34 %,1518,200,17.5,6.31,3,45.0 %,31323,0.00 %,2773019936,184
