country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Dominican Republic,2020,10847910,1.01 %,108952,-30000,28.0,2.36,225,84.5 %,9168876,0.14 %,7794798739,85
Dominican Republic,2019,10738958,1.05 %,111817,-30000,26.8,2.43,222,83.8 %,8998444,0.14 %,7713468100,85
Dominican Republic,2018,10627141,1.08 %,114037,-30000,26.8,2.43,220,83.0 %,8823303,0.14 %,7631091040,86
Dominican Republic,2017,10513104,1.11 %,115363,-30000,26.8,2.43,218,82.2 %,8643423,0.14 %,7547858925,87
Dominican Republic,2016,10397741,1.13 %,116061,-30000,26.8,2.43,215,81.4 %,8458941,0.14 %,7464022049,87
Dominican Republic,2015,10281680,1.18 %,117312,-30600,26.5,2.45,213,80.5 %,8271702,0.14 %,7379797139,87
Dominican Republic,2010,9695121,1.28 %,119573,-30755,25.0,2.57,201,75.3 %,7300054,0.14 %,6956823603,86
Dominican Republic,2005,9097257,1.44 %,125187,-30511,23.7,2.75,188,68.4 %,6223375,0.14 %,6541907027,87
Dominican Republic,2000,8471321,1.61 %,130415,-30029,22.5,2.95,175,62.4 %,5287718,0.14 %,6143493823,84
Dominican Republic,1995,7819247,1.85 %,137151,-28831,21.4,3.27,162,58.1 %,4545858,0.14 %,5744212979,85
Dominican Republic,1990,7133494,1.99 %,133853,-26894,20.3,3.58,148,55.6 %,3967238,0.13 %,5327231061,88
Dominican Republic,1985,6464229,2.18 %,132060,-23620,19.2,4.07,134,54.1 %,3495415,0.13 %,4870921740,87
Dominican Republic,1980,5803927,2.44 %,131858,-17420,18.1,4.76,120,51.3 %,2979572,0.13 %,4458003514,87
Dominican Republic,1975,5144637,2.71 %,128983,-14165,17.0,5.68,106,45.8 %,2355019,0.13 %,4079480606,85
Dominican Republic,1970,4499720,3.02 %,124391,-11234,16.0,6.65,93,40.3 %,1813592,0.12 %,3700437046,90
Dominican Republic,1965,3877765,3.32 %,116708,-8698,15.5,7.35,80,35.1 %,1359650,0.12 %,3339583597,97
Dominican Republic,1960,3294224,3.44 %,102578,-6344,16.0,7.64,68,30.2 %,994518,0.11 %,3034949748,94
Dominican Republic,1955,2781336,3.30 %,83336,-3791,16.8,7.60,58,26.8 %,746422,0.10 %,2773019936,97
