country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Egypt,2020,102334404,1.94 %,1946331,-38033,24.6,3.33,103,43.0 %,44041052,1.31 %,7794798739,14
Egypt,2019,100388073,2.00 %,1964475,-38033,24.3,3.43,101,43.1 %,43229498,1.30 %,7713468100,14
Egypt,2018,98423598,2.05 %,1981007,-38033,24.3,3.43,99,43.1 %,42437529,1.29 %,7631091040,14
Egypt,2017,96442591,2.11 %,1995518,-38033,24.3,3.43,97,43.2 %,41659745,1.28 %,7547858925,14
Egypt,2016,94447073,2.17 %,2004526,-38033,24.3,3.43,95,43.3 %,40889370,1.27 %,7464022049,14
Egypt,2015,92442547,2.24 %,1936262,-56189,24.3,3.45,93,43.4 %,40123329,1.25 %,7379797139,15
Egypt,2010,82761235,1.85 %,1447533,-56715,23.7,3.02,83,43.7 %,36182597,1.19 %,6956823603,15
Egypt,2005,75523569,1.87 %,1338402,-14893,22.5,3.15,76,43.7 %,33035354,1.15 %,6541907027,16
Egypt,2000,68831561,2.00 %,1299505,-42180,21.1,3.60,69,43.5 %,29917321,1.12 %,6143493823,15
Egypt,1995,62334034,2.12 %,1239912,-92081,20.2,4.15,63,43.8 %,27278501,1.09 %,5744212979,15
Egypt,1990,56134475,2.65 %,1375149,-42437,19.7,5.00,56,44.5 %,24961581,1.05 %,5327231061,20
Egypt,1985,49258732,2.61 %,1189934,-78586,19.5,5.49,49,44.8 %,22059000,1.01 %,4870921740,20
Egypt,1980,43309063,2.36 %,951984,-119059,19.4,5.70,44,44.7 %,19340901,0.97 %,4458003514,21
Egypt,1975,38549142,2.24 %,807058,-111836,19.2,6.00,39,44.0 %,16964582,0.94 %,4079480606,21
Egypt,1970,34513850,2.55 %,816166,-47940,19.1,6.45,35,42.1 %,14536071,0.93 %,3700437046,21
Egypt,1965,30433022,2.70 %,760026,-10020,19.0,6.65,31,40.3 %,12253382,0.91 %,3339583597,22
Egypt,1960,26632894,2.78 %,681954,-10020,19.9,6.75,27,38.4 %,10221871,0.88 %,3034949748,22
Egypt,1955,23223124,2.57 %,554229,-10020,20.7,6.75,23,35.3 %,8194766,0.84 %,2773019936,22
