country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Equatorial Guinea,2020,1402985,3.47 %,46999,16000,22.3,4.55,50,73.3 %,1027990,0.02 %,7794798739,153
Equatorial Guinea,2019,1355986,3.59 %,47011,16000,22.2,4.90,48,72.8 %,987808,0.02 %,7713468100,154
Equatorial Guinea,2018,1308975,3.72 %,46973,16000,22.2,4.90,47,72.4 %,947881,0.02 %,7631091040,155
Equatorial Guinea,2017,1262002,3.85 %,46822,16000,22.2,4.90,45,72.0 %,908254,0.02 %,7547858925,156
Equatorial Guinea,2016,1215180,3.99 %,46612,16000,22.2,4.90,43,71.5 %,868940,0.02 %,7464022049,157
Equatorial Guinea,2015,1168568,4.37 %,44986,18000,22.1,4.99,42,71.0 %,830013,0.02 %,7379797139,157
Equatorial Guinea,2010,943639,4.71 %,38821,16000,21.5,5.40,34,66.5 %,627157,0.01 %,6956823603,159
Equatorial Guinea,2005,749535,4.34 %,28671,10001,20.6,5.69,27,58.3 %,437275,0.01 %,6541907027,162
Equatorial Guinea,2000,606181,4.06 %,21883,7000,19.6,5.94,22,49.8 %,301586,0.01 %,6143493823,163
Equatorial Guinea,1995,496768,3.45 %,15516,4000,18.9,5.97,18,41.2 %,204444,0.01 %,5744212979,165
Equatorial Guinea,1990,419188,3.55 %,13414,4000,19.1,5.98,15,35.4 %,148306,0.01 %,5327231061,165
Equatorial Guinea,1985,352118,7.10 %,20438,13000,19.6,5.89,13,30.5 %,107455,0.01 %,4870921740,168
Equatorial Guinea,1980,249929,-0.46 %,-1174,-6000,20.7,5.79,9,28.5 %,71164,0.01 %,4458003514,172
Equatorial Guinea,1975,255800,-3.39 %,-9636,-14000,21.0,5.80,9,27.8 %,71198,0.01 %,4079480606,170
Equatorial Guinea,1970,303982,1.93 %,5536,1000,20.9,5.79,11,27.2 %,82618,0.01 %,3700437046,165
Equatorial Guinea,1965,276300,1.59 %,4193,600,21.7,5.67,10,26.6 %,73516,0.01 %,3339583597,163
Equatorial Guinea,1960,255333,1.26 %,3092,0,22.4,5.65,9,25.5 %,65202,0.01 %,3034949748,165
Equatorial Guinea,1955,239873,1.24 %,2867,0,23.1,5.67,9,20.3 %,48725,0.01 %,2773019936,163
