country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Faeroe Islands,2019,48678,0.37 %,181,35,43.1 %,20983,0.00 %,7713468100,212
Faeroe Islands,2018,48497,0.34 %,166,35,42.9 %,20817,0.00 %,7631091040,212
Faeroe Islands,2017,48331,0.33 %,158,35,42.7 %,20660,0.00 %,7547858925,212
Faeroe Islands,2016,48173,0.25 %,122,35,42.6 %,20519,0 %,7464022049,212
Faeroe Islands,2015,48051,0.1 %,47,34,42.4 %,20388,0 %,7379797139,212
Faeroe Islands,2010,47814,0.04 %,18,34,41.6 %,19870,0 %,6956823603,212
Faeroe Islands,2005,47722,0.42 %,197,34,40.2 %,19208,0 %,6541907027,211
Faeroe Islands,2000,46735,0.48 %,222,33,36.7 %,17172,0 %,6143493823,210
Faeroe Islands,1995,45625,-0.71 %,-330,33,34.4 %,15686,0 %,5744212979,210
Faeroe Islands,1990,47274,0.84 %,389,34,30.8 %,14561,0 %,5327231061,208
Faeroe Islands,1985,45330,0.9 %,399,32,30.9 %,14021,0 %,4870921740,206
Faeroe Islands,1980,43337,0.97 %,408,31,31.3 %,13570,0 %,4458003514,206
Faeroe Islands,1975,41299,1.15 %,458,30,30.4 %,12557,0 %,4079480606,207
Faeroe Islands,1970,39009,1.15 %,432,28,28 %,10924,0 %,3700437046,206
Faeroe Islands,1965,36847,1.26 %,446,26,16.4 %,6044,0 %,3339583597,202
Faeroe Islands,1960,34615,1.28 %,427,25,21.4 %,7412,0 %,3034949748,202
Faeroe Islands,1955,32481,0.61 %,196,23,18.6 %,6044,0 %,2773019936,202
