country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Falkland Islands Malvinas,2019,3377,4.42 %,143,0,67.5 %,2281,0.00 %,7713468100,232
Falkland Islands Malvinas,2018,3234,5.41 %,166,0,70.2 %,2269,0.00 %,7631091040,232
Falkland Islands Malvinas,2017,3068,4.78 %,140,0,73.2 %,2247,0.00 %,7547858925,232
Falkland Islands Malvinas,2016,2928,3.32 %,94,0,76.3 %,2233,0 %,7464022049,232
Falkland Islands Malvinas,2015,2834,-0.47 %,-13,0,78 %,2210,0 %,7379797139,232
Falkland Islands Malvinas,2010,2901,-0.23 %,-7,0,72.4 %,2101,0 %,6956823603,232
Falkland Islands Malvinas,2005,2935,0.3 %,9,0,70.9 %,2082,0 %,6541907027,232
Falkland Islands Malvinas,2000,2892,3.04 %,80,0,67.4 %,1948,0 %,6143493823,232
Falkland Islands Malvinas,1995,2490,4.67 %,102,0,64.5 %,1607,0 %,5744212979,232
Falkland Islands Malvinas,1990,1982,1.39 %,26,0,74.4 %,1475,0 %,5327231061,233
Falkland Islands Malvinas,1985,1850,-0.04 %,-1,0,64.2 %,1187,0 %,4870921740,233
Falkland Islands Malvinas,1980,1854,-0.52 %,-10,0,58.5 %,1085,0 %,4458003514,233
Falkland Islands Malvinas,1975,1903,-0.91 %,-18,0,56.8 %,1080,0 %,4079480606,233
Falkland Islands Malvinas,1970,1992,-0.84 %,-17,0,54.3 %,1081,0 %,3700437046,233
Falkland Islands Malvinas,1965,2078,-0.68 %,-14,0,53.8 %,1119,0 %,3339583597,232
Falkland Islands Malvinas,1960,2150,-0.49 %,-11,0,50.5 %,1086,0 %,3034949748,233
Falkland Islands Malvinas,1955,2204,-0.49 %,-11,0,50.8 %,1119,0 %,2773019936,232
