country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
France,2020,65273511,0.22 %,143783,36527,42.3,1.85,119,81.5 %,53217966,0.84 %,7794798739,22
France,2019,65129728,0.21 %,139217,36527,41.5,1.95,119,81.1 %,52849078,0.84 %,7713468100,22
France,2018,64990511,0.23 %,148002,36527,41.5,1.95,119,80.7 %,52476365,0.85 %,7631091040,22
France,2017,64842509,0.27 %,174913,36527,41.5,1.95,118,80.3 %,52100536,0.86 %,7547858925,22
France,2016,64667596,0.33 %,214396,36527,41.5,1.95,118,80.0 %,51722652,0.87 %,7464022049,22
France,2015,64453200,0.50 %,314734,84766,41.2,1.98,118,79.7 %,51343241,0.87 %,7379797139,22
France,2010,62879530,0.57 %,351881,89224,40.1,1.98,115,78.6 %,49393298,0.90 %,6956823603,22
France,2005,61120127,0.70 %,421006,185297,38.9,1.88,112,77.3 %,47229925,0.93 %,6541907027,20
France,2000,59015096,0.42 %,242641,38726,37.7,1.76,108,76.6 %,45225597,0.96 %,6143493823,20
France,1995,57801892,0.40 %,227009,24434,36.2,1.71,106,75.5 %,43630318,1.01 %,5744212979,20
France,1990,56666849,0.51 %,282400,55277,34.8,1.80,103,74.4 %,42182927,1.06 %,5327231061,17
France,1985,55254848,0.51 %,277368,58314,33.6,1.86,101,73.8 %,40800487,1.13 %,4870921740,16
France,1980,53868009,0.44 %,235887,51686,32.4,1.86,98,73.6 %,39623972,1.21 %,4458003514,16
France,1975,52688576,0.75 %,384931,108614,31.6,2.31,96,73.4 %,38658424,1.29 %,4079480606,15
France,1970,50763920,0.81 %,403454,98323,32.4,2.65,93,71.2 %,36126954,1.37 %,3700437046,15
France,1965,48746652,1.31 %,614701,283574,32.7,2.85,89,67.4 %,32832934,1.46 %,3339583597,11
France,1960,45673146,1.02 %,452356,166081,33.0,2.70,83,62.1 %,28381288,1.50 %,3034949748,12
France,1955,43411367,0.74 %,315497,42897,32.9,2.76,79,58.3 %,25317338,1.57 %,2773019936,11
