country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
French Polynesia,2020,280908,0.58 %,1621,-1000,33.6,1.95,77,64.1 %,180188,0.00 %,7794798739,185
French Polynesia,2019,279287,0.58 %,1608,-1000,31.9,2.02,76,63.9 %,178578,0.00 %,7713468100,185
French Polynesia,2018,277679,0.57 %,1577,-1000,31.9,2.02,76,63.7 %,176757,0.00 %,7631091040,185
French Polynesia,2017,276102,0.56 %,1527,-1000,31.9,2.02,75,63.3 %,174852,0.00 %,7547858925,184
French Polynesia,2016,274575,0.53 %,1451,-1000,31.9,2.02,75,63.0 %,172982,0.00 %,7464022049,183
French Polynesia,2015,273124,0.50 %,1334,-1603,31.5,2.04,75,62.7 %,171288,0.00 %,7379797139,182
French Polynesia,2010,266455,0.59 %,1535,-1804,29.2,2.17,73,60.6 %,161542,0.00 %,6956823603,182
French Polynesia,2005,258780,1.46 %,3619,15,27.1,2.36,71,56.6 %,146349,0.00 %,6541907027,182
French Polynesia,2000,240686,1.99 %,4523,697,25.6,2.61,66,55.2 %,132975,0.00 %,6143493823,182
French Polynesia,1995,218071,1.75 %,3633,-685,23.5,3.11,60,55.9 %,121881,0.00 %,5744212979,181
French Polynesia,1990,199905,2.46 %,4576,-72,22.0,3.64,55,57.4 %,114764,0.00 %,5327231061,181
French Polynesia,1985,177027,2.92 %,4745,730,20.9,3.82,48,58.0 %,102731,0.00 %,4870921740,181
French Polynesia,1980,153301,3.16 %,4414,935,19.5,4.23,42,58.4 %,89513,0.00 %,4458003514,181
French Polynesia,1975,131233,3.50 %,4148,1000,18.3,4.86,36,58.0 %,76088,0.00 %,4079480606,183
French Polynesia,1970,110495,3.41 %,3411,669,17.2,5.20,30,55.2 %,60952,0.00 %,3700437046,183
French Polynesia,1965,93438,3.66 %,3072,638,17.4,5.44,26,48.2 %,45017,0.00 %,3339583597,185
French Polynesia,1960,78076,2.55 %,1844,-485,18.3,5.86,21,42.3 %,33011,0.00 %,3034949748,186
French Polynesia,1955,68854,2.70 %,1718,-257,18.5,6.00,19,37.7 %,25947,0.00 %,2773019936,185
