country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Gabon,2020,2225734,2.45 %,53155,3260,22.5,4.00,9,87.1 %,1938139,0.03 %,7794798739,146
Gabon,2019,2172579,2.52 %,53304,3260,22.4,4.08,8,87.1 %,1892734,0.03 %,7713468100,146
Gabon,2018,2119275,2.64 %,54452,3260,22.4,4.08,8,87.2 %,1847776,0.03 %,7631091040,146
Gabon,2017,2064823,2.84 %,56950,3260,22.4,4.08,8,87.3 %,1801892,0.03 %,7547858925,149
Gabon,2016,2007873,3.09 %,60187,3260,22.4,4.08,8,87.3 %,1753288,0.03 %,7464022049,149
Gabon,2015,1947686,3.70 %,64709,20063,22.3,4.10,8,87.3 %,1700834,0.03 %,7379797139,150
Gabon,2010,1624140,3.15 %,46718,12740,21.2,4.20,6,86.4 %,1402919,0.02 %,6956823603,150
Gabon,2005,1390549,2.51 %,32438,4964,20.0,4.35,5,83.2 %,1156908,0.02 %,6541907027,149
Gabon,2000,1228360,2.51 %,28683,1913,19.3,4.77,5,79.1 %,971091,0.02 %,6143493823,151
Gabon,1995,1084946,2.70 %,27092,1000,19.0,5.25,4,74.9 %,812399,0.02 %,5744212979,153
Gabon,1990,949488,2.80 %,24476,1000,19.3,5.58,4,69.3 %,658385,0.02 %,5327231061,153
Gabon,1985,827108,2.63 %,20156,1000,19.9,5.72,3,62.6 %,517989,0.02 %,4870921740,152
Gabon,1980,726328,2.32 %,15758,1000,21.4,5.57,3,54.9 %,398719,0.02 %,4458003514,153
Gabon,1975,647536,1.90 %,11644,600,23.4,5.23,3,43.1 %,279190,0.02 %,4079480606,153
Gabon,1970,589314,2.02 %,11191,3238,25.4,4.93,2,32.0 %,188838,0.02 %,3700437046,153
Gabon,1965,533361,1.26 %,6487,1882,26.4,4.59,2,23.7 %,126602,0.02 %,3339583597,150
Gabon,1960,500928,0.68 %,3323,600,27.3,4.20,2,17.3 %,86847,0.02 %,3034949748,152
Gabon,1955,484313,0.46 %,2203,600,27.9,3.99,2,14.1 %,68209,0.02 %,2773019936,150
