country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Ghana,2020,31072940,2.15 %,655084,-10000,21.5,3.89,137,56.7 %,17625567,0.40 %,7794798739,47
Ghana,2019,30417856,2.19 %,650754,-10000,20.9,4.12,134,56.1 %,17067171,0.39 %,7713468100,46
Ghana,2018,29767102,2.22 %,645637,-10000,20.9,4.12,131,55.5 %,16517220,0.39 %,7631091040,46
Ghana,2017,29121465,2.25 %,639520,-10000,20.9,4.12,128,54.9 %,15975765,0.39 %,7547858925,47
Ghana,2016,28481945,2.27 %,632740,-10000,20.9,4.12,125,54.2 %,15442824,0.38 %,7464022049,47
Ghana,2015,27849205,2.36 %,613917,-10000,20.7,4.18,122,53.6 %,14918455,0.38 %,7379797139,47
Ghana,2010,24779619,2.58 %,592995,30000,20.0,4.37,109,50.2 %,12430779,0.36 %,6956823603,47
Ghana,2005,21814642,2.50 %,507157,5000,19.2,4.64,96,46.7 %,10191110,0.33 %,6541907027,49
Ghana,2000,19278856,2.53 %,452960,-25400,18.5,5.02,85,43.2 %,8319630,0.31 %,6143493823,50
Ghana,1995,17014057,2.86 %,448156,-3200,18.1,5.34,75,39.5 %,6727643,0.30 %,5744212979,52
Ghana,1990,14773277,2.94 %,397933,-8000,17.6,5.88,65,36.1 %,5330699,0.28 %,5327231061,53
Ghana,1985,12783613,2.95 %,345499,-2468,17.1,6.35,56,32.7 %,4183103,0.26 %,4870921740,53
Ghana,1980,11056116,2.06 %,214034,-91968,16.4,6.69,49,30.4 %,3366222,0.25 %,4458003514,55
Ghana,1975,9985946,2.71 %,250090,-28600,16.5,6.90,44,29.6 %,2954226,0.24 %,4079480606,57
Ghana,1970,8735495,2.45 %,199204,-52027,16.8,6.95,38,28.5 %,2489533,0.24 %,3700437046,59
Ghana,1965,7739473,3.13 %,220849,6000,17.7,6.84,34,26.0 %,2009926,0.23 %,3339583597,66
Ghana,1960,6635230,2.97 %,180927,12001,17.8,6.64,29,23.3 %,1546791,0.22 %,3034949748,66
Ghana,1955,5730594,2.62 %,138890,12000,17.6,6.44,25,18.9 %,1084305,0.21 %,2773019936,66
