country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Gibraltar,2019,33701,-0.05 %,-17,3370,N.A.,N.A.,0.00 %,7713468100,219
Gibraltar,2018,33718,-0.03 %,-10,3372,N.A.,N.A.,0.00 %,7631091040,219
Gibraltar,2017,33728,-0.03 %,-9,3373,N.A.,N.A.,0.00 %,7547858925,218
Gibraltar,2016,33737,0 %,1,3374,N.A.,N.A.,0 %,7464022049,218
Gibraltar,2015,33736,0.09 %,30,3374,N.A.,N.A.,0 %,7379797139,218
Gibraltar,2010,33585,0.22 %,73,3359,98.8 %,33189,0 %,6956823603,217
Gibraltar,2005,33219,1.34 %,428,3322,96.6 %,32085,0 %,6541907027,217
Gibraltar,2000,31077,1.61 %,477,3108,N.A.,N.A.,0 %,6143493823,216
Gibraltar,1995,28692,-0.31 %,-91,2869,N.A.,N.A.,0 %,5744212979,216
Gibraltar,1990,29147,-0 %,-1,2915,N.A.,N.A.,0 %,5327231061,214
Gibraltar,1985,29154,-0.61 %,-182,2915,N.A.,N.A.,0 %,4870921740,211
Gibraltar,1980,30065,-0 %,0,3007,N.A.,N.A.,0 %,4458003514,211
Gibraltar,1975,30067,1 %,292,3007,98.4 %,29578,0 %,4079480606,209
Gibraltar,1970,28606,1.87 %,507,2861,99.8 %,28560,0 %,3700437046,208
Gibraltar,1965,26073,2.17 %,531,2607,87.4 %,22775,0 %,3339583597,206
Gibraltar,1960,23420,0.55 %,126,2342,99.9 %,23394,0 %,3034949748,208
Gibraltar,1955,22788,0.67 %,150,2279,99.9 %,22775,0 %,2773019936,206
