country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Grenada,2020,112523,0.46 %,520,-200,32.0,2.07,331,35.5 %,39938,0.00 %,7794798739,195
Grenada,2019,112003,0.49 %,549,-200,30.8,2.16,329,35.4 %,39608,0.00 %,7713468100,195
Grenada,2018,111454,0.52 %,580,-200,30.8,2.16,328,35.3 %,39297,0.00 %,7631091040,195
Grenada,2017,110874,0.56 %,613,-200,30.8,2.16,326,35.2 %,38994,0.00 %,7547858925,195
Grenada,2016,110261,0.60 %,662,-200,30.8,2.16,324,35.1 %,38712,0.00 %,7464022049,194
Grenada,2015,109599,0.63 %,673,-200,30.6,2.18,322,35.1 %,38453,0.00 %,7379797139,194
Grenada,2010,106233,0.30 %,314,-705,29.2,2.30,312,35.3 %,37543,0.00 %,6956823603,194
Grenada,2005,104661,0.35 %,366,-702,26.0,2.43,308,35.3 %,36954,0.00 %,6541907027,196
Grenada,2000,102833,0.50 %,509,-793,23.9,2.81,302,35.3 %,36276,0.00 %,6143493823,196
Grenada,1995,100288,0.81 %,791,-842,22.1,3.46,295,34.5 %,34558,0.00 %,5744212979,196
Grenada,1990,96331,-0.73 %,-723,-3038,20.4,4.14,283,33.4 %,32184,0.00 %,5327231061,194
Grenada,1985,99946,2.34 %,2183,-117,20.0,4.23,294,33.2 %,33146,0.00 %,4870921740,193
Grenada,1980,89032,-0.76 %,-692,-2641,18.8,4.30,262,32.9 %,29293,0.00 %,4458003514,194
Grenada,1975,92494,-0.42 %,-396,-2352,17.8,4.60,272,32.5 %,30102,0.00 %,4079480606,190
Grenada,1970,94475,-0.03 %,-32,-1946,15.4,4.80,278,32.2 %,30416,0.00 %,3700437046,187
Grenada,1965,94636,1.02 %,941,-1890,15.2,6.40,278,31.3 %,29579,0.00 %,3339583597,179
Grenada,1960,89932,2.09 %,1766,-1146,15.6,6.70,265,30.3 %,27259,0.00 %,3034949748,180
Grenada,1955,81103,1.13 %,884,-1220,17.1,5.80,239,29.4 %,23825,0.00 %,2773019936,179
