country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Guatemala,2020,17915568,1.90 %,334096,-9215,22.9,2.90,167,51.8 %,9284293,0.23 %,7794798739,66
Guatemala,2019,17581472,1.93 %,333623,-9215,21.6,3.13,164,51.4 %,9041859,0.23 %,7713468100,66
Guatemala,2018,17247849,1.97 %,332879,-9215,21.6,3.13,161,51.0 %,8804376,0.23 %,7631091040,66
Guatemala,2017,16914970,2.00 %,331894,-9215,21.6,3.13,158,50.7 %,8571832,0.22 %,7547858925,67
Guatemala,2016,16583076,2.03 %,330647,-9215,21.6,3.13,155,50.3 %,8344199,0.22 %,7464022049,67
Guatemala,2015,16252429,2.13 %,324402,-10026,21.3,3.19,152,50.0 %,8121457,0.22 %,7379797139,67
Guatemala,2010,14630417,2.24 %,306878,-22846,19.7,3.62,137,48.4 %,7081513,0.21 %,6956823603,67
Guatemala,2005,13096028,2.37 %,289057,-56210,18.5,4.33,122,46.9 %,6143708,0.20 %,6541907027,67
Guatemala,2000,11650743,2.28 %,248451,-80465,17.7,4.83,109,45.3 %,5281459,0.19 %,6143493823,66
Guatemala,1995,10408489,2.36 %,228935,-73494,17.2,5.31,97,43.7 %,4543736,0.18 %,5744212979,68
Guatemala,1990,9263813,2.37 %,204751,-59982,16.9,5.58,86,42.0 %,3890023,0.17 %,5327231061,74
Guatemala,1985,8240060,2.50 %,191320,-56615,16.6,6.16,77,40.3 %,3324620,0.17 %,4870921740,75
Guatemala,1980,7283459,2.51 %,169946,-51704,16.8,6.46,68,38.7 %,2820471,0.16 %,4458003514,76
Guatemala,1975,6433728,2.73 %,162387,-27506,17.0,6.58,60,37.1 %,2388548,0.16 %,4079480606,76
Guatemala,1970,5621792,2.91 %,150415,-8254,16.9,6.70,52,35.5 %,1998290,0.15 %,3700437046,78
Guatemala,1965,4869716,2.95 %,131794,-2062,16.8,6.80,45,34.0 %,1655162,0.15 %,3339583597,83
Guatemala,1960,4210747,3.04 %,117089,-849,17.2,6.99,39,31.1 %,1310429,0.14 %,3034949748,79
Guatemala,1955,3625300,3.08 %,102069,-573,17.8,7.12,34,28.0 %,1014803,0.13 %,2773019936,83
