country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Haiti,2020,11402528,1.24 %,139451,-35000,24.0,2.96,414,56.9 %,6491525,0.15 %,7794798739,82
Haiti,2019,11263077,1.26 %,139899,-35000,23.0,3.20,409,56.1 %,6317600,0.15 %,7713468100,83
Haiti,2018,11123178,1.28 %,140812,-35000,23.0,3.20,404,55.2 %,6143008,0.15 %,7631091040,83
Haiti,2017,10982366,1.31 %,142396,-35000,23.0,3.20,398,54.3 %,5967808,0.15 %,7547858925,82
Haiti,2016,10839970,1.35 %,144428,-35000,23.0,3.20,393,53.4 %,5791991,0.15 %,7464022049,82
Haiti,2015,10695542,1.46 %,149244,-30000,22.7,3.26,388,52.5 %,5615518,0.14 %,7379797139,82
Haiti,2010,9949322,1.59 %,150807,-27601,21.5,3.62,361,47.7 %,4750682,0.14 %,6956823603,84
Haiti,2005,9195288,1.67 %,146296,-28000,20.3,4.08,334,43.0 %,3949718,0.14 %,6541907027,84
Haiti,2000,8463806,1.79 %,143861,-29000,19.1,4.62,307,36.0 %,3043515,0.14 %,6143493823,85
Haiti,1995,7744503,1.93 %,141317,-28000,18.5,5.15,281,32.9 %,2548498,0.13 %,5744212979,87
Haiti,1990,7037917,2.12 %,140129,-27000,18.5,5.70,255,28.8 %,2024145,0.13 %,5327231061,89
Haiti,1985,6337273,2.35 %,138820,-25000,18.8,6.21,230,23.4 %,1485033,0.13 %,4870921740,89
Haiti,1980,5643173,2.07 %,109719,-19600,19.3,5.80,205,20.7 %,1168529,0.13 %,4458003514,88
Haiti,1975,5094577,1.73 %,83669,-17600,19.3,5.60,185,20.6 %,1048848,0.12 %,4079480606,86
Haiti,1970,4676230,1.89 %,83500,-11601,19.1,6.00,170,19.9 %,930532,0.13 %,3700437046,86
Haiti,1965,4258732,1.95 %,78515,-10399,19.5,6.30,155,17.6 %,750874,0.13 %,3339583597,85
Haiti,1960,3866159,1.93 %,70417,-7000,19.8,6.30,140,15.6 %,602843,0.13 %,3034949748,86
Haiti,1955,3514074,1.76 %,58558,-6000,20.0,6.30,128,13.8 %,484645,0.13 %,2773019936,85
