country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Holy See,2019,799,-0.25 %,-2,1998,N.A.,N.A.,0.00 %,7713468100,235
Holy See,2018,801,1.01 %,8,2003,N.A.,N.A.,0.00 %,7631091040,235
Holy See,2017,793,-1 %,-8,1983,99.9 %,792,0.00 %,7547858925,235
Holy See,2016,801,-0.25 %,-2,2003,N.A.,N.A.,0 %,7464022049,235
Holy See,2015,803,0.23 %,2,2008,N.A.,N.A.,0 %,7379797139,235
Holy See,2010,794,-0.1 %,-1,1985,N.A.,N.A.,0 %,6956823603,235
Holy See,2005,798,0.33 %,3,1995,N.A.,N.A.,0 %,6541907027,235
Holy See,2000,785,0.13 %,1,1963,N.A.,N.A.,0 %,6143493823,235
Holy See,1995,780,0.31 %,2,1950,N.A.,N.A.,0 %,5744212979,235
Holy See,1990,768,0.58 %,4,1920,N.A.,N.A.,0 %,5327231061,235
Holy See,1985,746,0.6 %,4,1865,N.A.,N.A.,0 %,4870921740,235
Holy See,1980,724,-0.11 %,-1,1810,N.A.,N.A.,0 %,4458003514,235
Holy See,1975,728,2.48 %,17,1820,N.A.,N.A.,0 %,4079480606,235
Holy See,1970,644,-5.49 %,-42,1610,N.A.,N.A.,0 %,3700437046,235
Holy See,1965,854,-1.18 %,-10,2135,N.A.,N.A.,0 %,3339583597,235
Holy See,1960,906,-0.04 %,0,2265,N.A.,N.A.,0 %,3034949748,235
Holy See,1955,908,0 %,0,2270,N.A.,N.A.,0 %,2773019936,235
