country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Honduras,2020,9904607,1.63 %,158490,-6800,24.3,2.49,89,57.3 %,5672054,0.13 %,7794798739,92
Honduras,2019,9746117,1.65 %,158595,-6800,22.9,2.68,87,56.7 %,5523992,0.13 %,7713468100,93
Honduras,2018,9587522,1.68 %,158509,-6800,22.9,2.68,86,56.1 %,5376802,0.13 %,7631091040,94
Honduras,2017,9429013,1.71 %,158218,-6800,22.9,2.68,84,55.5 %,5230757,0.12 %,7547858925,95
Honduras,2016,9270795,1.73 %,157879,-6800,22.9,2.68,83,54.9 %,5086183,0.12 %,7464022049,95
Honduras,2015,9112916,1.84 %,159089,-6000,22.5,2.73,81,54.2 %,4943275,0.12 %,7379797139,95
Honduras,2010,8317470,2.20 %,171697,-5000,20.7,3.24,74,51.1 %,4251823,0.12 %,6956823603,96
Honduras,2005,7458985,2.56 %,176895,-8400,19.3,3.87,67,48.0 %,3582399,0.11 %,6541907027,95
Honduras,2000,6574509,2.86 %,173099,-13000,18.2,4.56,59,45.1 %,2965811,0.11 %,6143493823,96
Honduras,1995,5709014,2.87 %,150742,-15600,17.5,4.92,51,42.9 %,2451508,0.10 %,5744212979,98
Honduras,1990,4955303,2.97 %,134828,-14800,16.9,5.37,44,40.5 %,2004930,0.09 %,5327231061,104
Honduras,1985,4281161,3.08 %,120576,-12400,16.4,6.00,38,37.7 %,1615507,0.09 %,4870921740,105
Honduras,1980,3678279,3.13 %,105005,-10200,16.2,6.60,33,34.9 %,1282631,0.08 %,4458003514,109
Honduras,1975,3153253,3.03 %,87320,-9200,16.1,7.05,28,32.1 %,1012497,0.08 %,4079480606,111
Honduras,1970,2716654,2.98 %,74128,-8200,16.1,7.42,24,28.9 %,785165,0.07 %,3700437046,116
Honduras,1965,2346015,2.85 %,61477,-5800,16.3,7.42,21,25.7 %,603016,0.07 %,3339583597,118
Honduras,1960,2038632,2.85 %,53456,-2400,17.0,7.50,18,22.7 %,463736,0.07 %,3034949748,119
Honduras,1955,1771352,2.75 %,44926,-400,17.9,7.50,16,20.0 %,354938,0.06 %,2773019936,118
