country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Iran,2020,83992949,1.30 %,1079043,-55000,32.0,2.15,52,75.5 %,63420504,1.08 %,7794798739,18
Iran,2019,82913906,1.36 %,1113718,-55000,30.1,1.96,51,75.3 %,62439455,1.07 %,7713468100,19
Iran,2018,81800188,1.40 %,1126305,-55000,30.1,1.96,50,75.1 %,61425055,1.07 %,7631091040,19
Iran,2017,80673883,1.39 %,1109894,-55000,30.1,1.96,50,74.8 %,60380188,1.07 %,7547858925,19
Iran,2016,79563989,1.37 %,1071774,-55000,30.1,1.96,49,74.5 %,59308845,1.07 %,7464022049,18
Iran,2015,78492215,1.25 %,945939,-100469,29.7,1.91,48,74.2 %,58217032,1.06 %,7379797139,18
Iran,2010,73762519,1.12 %,800034,-115380,27.0,1.82,45,71.4 %,52664138,1.06 %,6956823603,17
Iran,2005,69762347,1.23 %,827788,-9689,24.1,1.92,43,68.2 %,47575374,1.07 %,6541907027,17
Iran,2000,65623405,1.33 %,836148,-43670,21.2,2.40,40,64.5 %,42352090,1.07 %,6143493823,17
Iran,1995,61442664,1.74 %,1015289,-179685,18.6,3.70,38,59.4 %,36488609,1.07 %,5744212979,16
Iran,1990,56366217,3.55 %,1803806,299446,17.2,5.62,35,56.2 %,31672465,1.06 %,5327231061,19
Iran,1985,47347186,4.14 %,1739388,401534,17.2,6.53,29,53.4 %,25278712,0.97 %,4870921740,22
Iran,1980,38650246,3.38 %,1184095,80664,18.0,6.28,24,49.7 %,19215536,0.87 %,4458003514,22
Iran,1975,32729772,2.80 %,843181,15527,18.1,6.24,20,45.7 %,14973153,0.80 %,4079480606,25
Iran,1970,28513866,2.70 %,711799,10351,17.7,6.68,18,41.2 %,11751335,0.77 %,3700437046,25
Iran,1965,24954873,2.64 %,609592,-1568,18.0,6.91,15,37.1 %,9250486,0.75 %,3339583597,27
Iran,1960,21906914,2.57 %,522557,-389,19.6,6.91,13,33.7 %,7390258,0.72 %,3034949748,26
Iran,1955,19294127,2.42 %,434972,-218,20.9,6.91,12,30.6 %,5895032,0.70 %,2773019936,27
