country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Iraq,2020,40222493,2.32 %,912710,7834,21.0,3.68,93,73.1 %,29422695,0.52 %,7794798739,36
Iraq,2019,39309783,2.28 %,876183,7834,20.2,4.13,91,72.7 %,28562530,0.51 %,7713468100,36
Iraq,2018,38433600,2.35 %,880819,7834,20.2,4.13,88,72.1 %,27723807,0.50 %,7631091040,36
Iraq,2017,37552781,2.57 %,942149,7834,20.2,4.13,86,71.6 %,26898682,0.50 %,7547858925,37
Iraq,2016,36610632,2.92 %,1038371,7834,20.2,4.13,84,71.2 %,26076797,0.49 %,7464022049,37
Iraq,2015,35572261,3.64 %,1166057,260721,20.0,4.25,82,71.0 %,25252255,0.48 %,7379797139,38
Iraq,2010,29741976,2.01 %,563938,-220423,18.8,4.40,68,71.5 %,21258071,0.43 %,6956823603,39
Iraq,2005,26922284,2.76 %,684940,-53264,18.7,4.71,62,69.0 %,18572494,0.41 %,6541907027,40
Iraq,2000,23497585,3.12 %,669649,-3572,18.2,5.19,54,68.7 %,16141452,0.38 %,6143493823,43
Iraq,1995,20149338,2.95 %,546045,-30805,17.5,5.65,46,69.0 %,13899288,0.35 %,5744212979,47
Iraq,1990,17419113,2.29 %,372663,-129533,16.8,6.09,40,69.9 %,12176901,0.33 %,5327231061,46
Iraq,1985,15555800,2.64 %,380489,-39988,16.7,6.35,36,68.9 %,10711364,0.32 %,4870921740,49
Iraq,1980,13653354,3.16 %,393753,-9558,16.6,6.80,31,65.5 %,8945864,0.31 %,4458003514,50
Iraq,1975,11684590,3.33 %,353321,-1717,17.0,7.15,27,61.4 %,7171852,0.29 %,4079480606,51
Iraq,1970,9917983,3.44 %,308439,-1375,17.5,7.40,23,56.2 %,5569369,0.27 %,3700437046,52
Iraq,1965,8375790,2.82 %,217206,-372,18.6,6.60,19,50.7 %,4242440,0.25 %,3339583597,64
Iraq,1960,7289760,2.31 %,157421,-220,19.6,6.20,17,42.9 %,3127214,0.24 %,3034949748,61
Iraq,1955,6502657,2.60 %,156693,-110,20.3,7.30,15,37.6 %,2447031,0.23 %,2773019936,64
