country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Isle Of Man,2019,84584,0.6 %,507,148,53.2 %,45019,0.00 %,7713468100,202
Isle Of Man,2018,84077,0.57 %,479,148,53.1 %,44611,0.00 %,7631091040,202
Isle Of Man,2017,83598,0.37 %,311,147,52.9 %,44215,0.00 %,7547858925,202
Isle Of Man,2016,83287,0.06 %,53,146,52.6 %,43830,0 %,7464022049,202
Isle Of Man,2015,83234,-0.39 %,-325,146,52.2 %,43450,0 %,7379797139,202
Isle Of Man,2010,84857,1.11 %,910,149,49.1 %,41633,0 %,6956823603,202
Isle Of Man,2005,80305,0.86 %,673,141,49.2 %,39509,0 %,6541907027,202
Isle Of Man,2000,76941,1.3 %,962,135,48.9 %,37600,0 %,6143493823,201
Isle Of Man,1995,72131,0.52 %,367,127,50.3 %,36284,0 %,5744212979,201
Isle Of Man,1990,70298,1.81 %,1204,123,50.4 %,35409,0 %,5327231061,201
Isle Of Man,1985,64278,0.23 %,145,113,50.5 %,32455,0 %,4870921740,200
Isle Of Man,1980,63551,1.33 %,815,111,51.8 %,32909,0 %,4458003514,199
Isle Of Man,1975,59478,1.42 %,811,104,52.4 %,31168,0 %,4079480606,200
Isle Of Man,1970,55425,2.02 %,1057,97,55.8 %,30944,0 %,3700437046,199
Isle Of Man,1965,50141,0.69 %,340,88,56.5 %,28315,0 %,3339583597,193
Isle Of Man,1960,48442,-1.56 %,-793,85,55.1 %,26703,0 %,3034949748,196
Isle Of Man,1955,52408,-1.05 %,-569,92,54 %,28315,0 %,2773019936,193
