country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Kazakhstan,2020,18776707,1.21 %,225280,-18000,30.7,2.76,7,57.7 %,10828881,0.24 %,7794798739,64
Kazakhstan,2019,18551427,1.27 %,231809,-18000,29.6,2.69,7,57.7 %,10698322,0.24 %,7713468100,64
Kazakhstan,2018,18319618,1.33 %,239599,-18000,29.6,2.69,7,57.7 %,10568980,0.24 %,7631091040,63
Kazakhstan,2017,18080019,1.40 %,249118,-18000,29.6,2.69,7,57.7 %,10437728,0.24 %,7547858925,63
Kazakhstan,2016,17830901,1.47 %,258885,-18000,29.6,2.69,7,57.8 %,10300410,0.24 %,7464022049,63
Kazakhstan,2015,17572016,1.57 %,263947,31961,29.4,2.67,7,57.8 %,10151168,0.24 %,7379797139,63
Kazakhstan,2010,16252279,1.08 %,169894,-7039,28.9,2.54,6,57.3 %,9319106,0.23 %,6956823603,63
Kazakhstan,2005,15402807,0.64 %,96018,8906,28.6,2.01,6,57.0 %,8775200,0.24 %,6541907027,62
Kazakhstan,2000,14922719,-1.19 %,-183329,-252302,27.8,2.00,6,56.6 %,8446937,0.24 %,6143493823,62
Kazakhstan,1995,15839363,-0.67 %,-108905,-287879,27.1,2.55,6,56.6 %,8966986,0.28 %,5744212979,53
Kazakhstan,1990,16383887,0.90 %,143658,-134857,26.0,3.03,6,56.8 %,9306548,0.31 %,5327231061,50
Kazakhstan,1985,15665595,1.15 %,173884,-86654,24.6,3.04,6,56.5 %,8843705,0.32 %,4870921740,46
Kazakhstan,1980,14796174,1.04 %,149190,-87052,23.5,3.23,5,54.5 %,8070301,0.33 %,4458003514,45
Kazakhstan,1975,14050226,1.51 %,202817,-25620,22.3,3.61,5,52.9 %,7427349,0.34 %,4079480606,40
Kazakhstan,1970,13036139,1.94 %,238844,34669,21.8,3.67,5,50.5 %,6585970,0.35 %,3700437046,40
Kazakhstan,1965,11841920,3.57 %,381471,138824,22.4,4.43,4,47.3 %,5602843,0.35 %,3339583597,50
Kazakhstan,1960,9934563,4.60 %,400408,197156,22.9,4.56,4,44.5 %,4418028,0.33 %,3034949748,44
Kazakhstan,1955,7932521,3.43 %,245906,102236,23.3,4.41,3,40.7 %,3231136,0.29 %,2773019936,50
