country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Kuwait,2020,4270571,1.51 %,63488,39520,36.8,2.10,240,N.A.,N.A.,0.05 %,7794798739,129
Kuwait,2019,4207083,1.69 %,69771,39520,34.1,2.10,236,N.A.,N.A.,0.05 %,7713468100,129
Kuwait,2018,4137312,2.00 %,81213,39520,34.1,2.10,232,N.A.,N.A.,0.05 %,7631091040,130
Kuwait,2017,4056099,2.51 %,99224,39520,34.1,2.10,228,N.A.,N.A.,0.05 %,7547858925,131
Kuwait,2016,3956875,3.16 %,121284,39520,34.1,2.10,222,N.A.,N.A.,0.05 %,7464022049,132
Kuwait,2015,3835591,5.09 %,168741,116000,33.5,2.10,215,N.A.,N.A.,0.05 %,7379797139,132
Kuwait,2010,2991884,5.68 %,144337,95900,29.5,2.40,168,N.A.,N.A.,0.04 %,6956823603,137
Kuwait,2005,2270198,2.11 %,45015,5300,28.2,2.60,127,N.A.,N.A.,0.03 %,6541907027,141
Kuwait,2000,2045123,4.95 %,87844,48400,27.8,3.00,115,99.3 %,2030234,0.03 %,6143493823,142
Kuwait,1995,1605901,-5.18 %,-97889,-131000,26.6,2.55,90,98.4 %,1579978,0.03 %,5744212979,146
Kuwait,1990,2095344,3.84 %,72014,23954,23.5,3.65,118,98.2 %,2057080,0.04 %,5327231061,138
Kuwait,1985,1735274,4.86 %,73319,23068,22.3,5.00,97,98.1 %,1702525,0.04 %,4870921740,142
Kuwait,1980,1368677,6.02 %,69391,28220,20.5,5.60,77,95.0 %,1300693,0.03 %,4458003514,143
Kuwait,1975,1021720,6.54 %,55454,19167,17.8,6.75,57,89.7 %,916132,0.03 %,4079480606,144
Kuwait,1970,744450,9.54 %,54483,29320,18.9,7.40,42,85.9 %,639688,0.02 %,3700437046,147
Kuwait,1965,472037,11.90 %,40602,27400,21.3,7.30,26,79.5 %,375402,0.01 %,3339583597,169
Kuwait,1960,269029,8.14 %,17428,10550,23.4,7.20,15,75.1 %,201926,0.01 %,3034949748,164
Kuwait,1955,181888,3.51 %,5758,770,22.7,7.20,10,69.3 %,126132,0.01 %,2773019936,169
