country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Liechtenstein,2019,38019,0.29 %,109,238,14.5 %,5519,0.00 %,7713468100,216
Liechtenstein,2018,37910,0.29 %,110,237,14.4 %,5470,0.00 %,7631091040,215
Liechtenstein,2017,37800,0.38 %,142,236,14.4 %,5429,0.00 %,7547858925,215
Liechtenstein,2016,37658,0.5 %,188,235,14.3 %,5388,0 %,7464022049,215
Liechtenstein,2015,37470,0.81 %,295,234,14.3 %,5350,0 %,7379797139,215
Liechtenstein,2010,35994,0.73 %,256,225,14.5 %,5208,0 %,6956823603,214
Liechtenstein,2005,34713,0.9 %,306,217,14.8 %,5137,0 %,6541907027,213
Liechtenstein,2000,33184,1.45 %,461,207,15.2 %,5036,0 %,6143493823,213
Liechtenstein,1995,30880,1.41 %,418,193,16.5 %,5082,0 %,5744212979,214
Liechtenstein,1990,28789,1.08 %,300,180,16.9 %,4866,0 %,5327231061,216
Liechtenstein,1985,27288,1.07 %,282,171,17.6 %,4802,0 %,4870921740,214
Liechtenstein,1980,25879,2 %,488,162,18.3 %,4727,0 %,4458003514,213
Liechtenstein,1975,23438,1.96 %,434,146,18.3 %,4294,0 %,4079480606,213
Liechtenstein,1970,21266,2.66 %,523,133,18.5 %,3924,0 %,3700437046,213
Liechtenstein,1965,18649,2.49 %,431,117,16.2 %,3019,0 %,3339583597,212
Liechtenstein,1960,16493,2.15 %,333,103,20.4 %,3371,0 %,3034949748,212
Liechtenstein,1955,14830,1.51 %,214,93,20.4 %,3019,0 %,2773019936,212
