country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Lithuania,2020,2722289,-1.35 %,-37338,-32780,45.1,1.67,43,71.3 %,1940986,0.03 %,7794798739,142
Lithuania,2019,2759627,-1.49 %,-41637,-32780,43.1,1.61,44,70.4 %,1943693,0.04 %,7713468100,142
Lithuania,2018,2801264,-1.55 %,-44150,-32780,43.1,1.61,45,69.5 %,1946762,0.04 %,7631091040,141
Lithuania,2017,2845414,-1.53 %,-44143,-32780,43.1,1.61,45,68.6 %,1951399,0.04 %,7547858925,141
Lithuania,2016,2889557,-1.44 %,-42323,-32780,43.1,1.61,46,67.8 %,1959170,0.04 %,7464022049,140
Lithuania,2015,2931880,-1.26 %,-38387,-29243,42.7,1.59,47,67.2 %,1971134,0.04 %,7379797139,138
Lithuania,2010,3123816,-1.35 %,-44090,-30186,40.6,1.42,50,66.8 %,2085346,0.04 %,6956823603,135
Lithuania,2005,3344268,-0.92 %,-31514,-19821,38.5,1.28,53,66.6 %,2228451,0.05 %,6541907027,130
Lithuania,2000,3501839,-0.70 %,-24955,-18785,35.9,1.47,56,67.0 %,2345732,0.06 %,6143493823,127
Lithuania,1995,3626612,-0.38 %,-13885,-20060,34.0,1.82,58,67.3 %,2440163,0.06 %,5744212979,121
Lithuania,1990,3696035,0.74 %,26728,7373,32.7,2.06,59,67.6 %,2497889,0.07 %,5327231061,118
Lithuania,1985,3562397,0.76 %,26327,8761,32.1,2.04,57,65.0 %,2316928,0.07 %,4870921740,117
Lithuania,1980,3430760,0.79 %,26376,7763,32.0,2.10,55,61.2 %,2098183,0.08 %,4458003514,112
Lithuania,1975,3298879,1.01 %,32459,7556,31.5,2.30,53,55.7 %,1836988,0.08 %,4079480606,107
Lithuania,1970,3136586,1.12 %,34084,5263,30.8,2.30,50,49.6 %,1554334,0.08 %,3700437046,106
Lithuania,1965,2966165,1.38 %,39258,4943,29.7,2.43,47,44.4 %,1318453,0.09 %,3339583597,100
Lithuania,1960,2769876,1.05 %,28225,-4900,28.5,2.66,44,39.5 %,1093002,0.09 %,3034949748,105
Lithuania,1955,2628751,0.47 %,12270,-14670,28.0,2.84,42,34.1 %,895127,0.09 %,2773019936,100
