country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Luxembourg,2020,625978,1.66 %,10249,9741,39.7,1.45,242,88.2 %,552328,0.01 %,7794798739,169
Luxembourg,2019,615729,1.90 %,11484,9741,39.4,1.53,238,88.4 %,544596,0.01 %,7713468100,169
Luxembourg,2018,604245,2.08 %,12335,9741,39.4,1.53,233,88.9 %,537082,0.01 %,7631091040,169
Luxembourg,2017,591910,2.18 %,12646,9741,39.4,1.53,229,89.4 %,529352,0.01 %,7547858925,169
Luxembourg,2016,579264,2.21 %,12523,9741,39.4,1.53,224,89.9 %,520820,0.01 %,7464022049,169
Luxembourg,2015,566741,2.22 %,11770,9741,39.3,1.55,219,90.2 %,511081,0.01 %,7379797139,169
Luxembourg,2010,507889,2.10 %,10009,8456,38.9,1.62,196,88.5 %,449722,0.01 %,6956823603,170
Luxembourg,2005,457842,0.98 %,4348,2895,38.5,1.65,177,86.6 %,396482,0.01 %,6541907027,171
Luxembourg,2000,436103,1.33 %,5591,3988,37.3,1.72,168,84.2 %,367269,0.01 %,6143493823,168
Luxembourg,1995,408149,1.34 %,5272,4008,36.7,1.66,158,82.9 %,338327,0.01 %,5744212979,168
Luxembourg,1990,381791,0.80 %,2981,2566,36.4,1.47,147,80.9 %,309047,0.01 %,5327231061,169
Luxembourg,1985,366884,0.16 %,569,510,35.8,1.47,142,80.7 %,295961,0.01 %,4870921740,166
Luxembourg,1980,364038,0.56 %,2011,2369,35.0,1.49,141,80.0 %,291384,0.01 %,4458003514,162
Luxembourg,1975,353983,0.83 %,2863,3057,35.0,1.72,137,77.3 %,273618,0.01 %,4079480606,162
Luxembourg,1970,339668,0.57 %,1901,1184,35.4,2.19,131,74.4 %,252625,0.01 %,3700437046,161
Luxembourg,1965,330161,0.97 %,3115,1705,35.3,2.40,127,72.0 %,237576,0.01 %,3339583597,158
Luxembourg,1960,314588,0.60 %,1865,838,35.2,2.23,121,69.6 %,218815,0.01 %,3034949748,159
Luxembourg,1955,305261,0.62 %,1852,1151,35.7,1.98,118,68.4 %,208830,0.01 %,2773019936,158
