country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Macao,2020,649335,1.39 %,8890,5000,39.3,1.20,21645,N.A.,N.A.,0.01 %,7794798739,167
Macao,2019,640445,1.39 %,8809,5000,37.9,1.19,21348,N.A.,N.A.,0.01 %,7713468100,167
Macao,2018,631636,1.45 %,9051,5000,37.9,1.19,21055,N.A.,N.A.,0.01 %,7631091040,167
Macao,2017,622585,1.59 %,9749,5000,37.9,1.19,20753,100.0 %,622567,0.01 %,7547858925,168
Macao,2016,612836,1.79 %,10751,5000,37.9,1.19,20428,99.9 %,612167,0.01 %,7464022049,168
Macao,2015,602085,2.27 %,12773,8470,37.5,1.19,20070,99.8 %,600942,0.01 %,7379797139,168
Macao,2010,538219,2.19 %,11072,8476,36.3,0.98,17941,99.8 %,536969,0.01 %,6956823603,167
Macao,2005,482858,2.45 %,11015,9257,34.4,0.85,16095,99.9 %,482559,0.01 %,6541907027,168
Macao,2000,427782,2.10 %,8454,5573,33.4,1.12,14259,N.A.,N.A.,0.01 %,6143493823,170
Macao,1995,385513,2.32 %,8341,4369,31.1,1.41,12850,100.0 %,385339,0.01 %,5744212979,171
Macao,1990,343808,3.93 %,12061,6693,28.9,2.00,11460,99.8 %,343119,0.01 %,5327231061,172
Macao,1985,283503,3.55 %,9086,5029,27.6,2.06,9450,99.4 %,281813,0.01 %,4870921740,173
Macao,1980,238071,-0.30 %,-711,-2007,25.7,1.41,7936,98.5 %,234592,0.01 %,4458003514,173
Macao,1975,241628,-0.37 %,-913,-2194,22.6,1.79,8054,97.9 %,236533,0.01 %,4079480606,172
Macao,1970,246194,3.91 %,8593,6720,18.8,2.74,8206,97.0 %,238887,0.01 %,3700437046,168
Macao,1965,203228,3.91 %,7087,3812,17.6,4.41,6774,96.2 %,195462,0.01 %,3339583597,168
Macao,1960,167791,-2.40 %,-4334,-8756,21.3,4.81,5593,95.3 %,159892,0.01 %,3034949748,171
Macao,1955,189460,-0.73 %,-1404,-6475,25.2,4.39,6315,96.2 %,182204,0.01 %,2773019936,168
