country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Malawi,2020,19129952,2.69 %,501205,-16053,18.1,4.25,203,18.5 %,3534836,0.25 %,7794798739,62
Malawi,2019,18628747,2.68 %,485530,-16053,17.4,4.75,198,18.2 %,3386573,0.24 %,7713468100,63
Malawi,2018,18143217,2.68 %,473021,-16053,17.4,4.75,192,17.9 %,3245933,0.24 %,7631091040,64
Malawi,2017,17670196,2.70 %,464935,-16053,17.4,4.75,187,17.6 %,3112590,0.23 %,7547858925,64
Malawi,2016,17205261,2.75 %,459958,-16053,17.4,4.75,182,17.4 %,2986276,0.23 %,7464022049,65
Malawi,2015,16745303,2.87 %,441138,-16053,17.2,4.88,178,17.1 %,2866700,0.23 %,7379797139,66
Malawi,2010,14539612,2.86 %,382732,-11833,16.6,5.73,154,16.2 %,2357581,0.21 %,6956823603,68
Malawi,2005,12625952,2.52 %,295439,-11833,16.6,6.00,134,15.5 %,1962982,0.19 %,6541907027,69
Malawi,2000,11148758,2.52 %,260869,-11833,16.9,6.20,118,14.9 %,1662050,0.18 %,6143493823,69
Malawi,1995,9844415,0.92 %,87983,-172379,17.4,6.50,104,13.4 %,1314278,0.17 %,5744212979,76
Malawi,1990,9404500,5.29 %,427247,175415,17.5,7.25,100,11.6 %,1090992,0.18 %,5327231061,73
Malawi,1985,7268267,3.06 %,203565,0,16.8,7.60,77,10.1 %,732861,0.15 %,4870921740,81
Malawi,1980,6250440,3.03 %,173129,2800,17.1,7.60,66,8.9 %,557771,0.14 %,4458003514,83
Malawi,1975,5384795,2.74 %,136203,-3000,17.4,7.40,57,7.5 %,404986,0.13 %,4079480606,83
Malawi,1970,4703782,2.61 %,113864,0,17.9,7.20,50,5.9 %,278646,0.13 %,3700437046,85
Malawi,1965,4134460,2.47 %,94895,0,18.1,7.00,44,4.8 %,199188,0.12 %,3339583597,89
Malawi,1960,3659984,2.28 %,77887,0,18.0,6.90,39,4.3 %,158848,0.12 %,3034949748,88
Malawi,1955,3270548,2.06 %,63335,0,17.7,6.85,35,3.9 %,127621,0.12 %,2773019936,89
