country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mali,2020,20250833,3.02 %,592802,-40000,16.3,5.92,17,44.0 %,8906636,0.26 %,7794798739,60
Mali,2019,19658031,3.04 %,580282,-40000,16.0,6.26,16,43.2 %,8493036,0.25 %,7713468100,60
Mali,2018,19077749,3.05 %,565319,-40000,16.0,6.26,16,42.4 %,8093320,0.25 %,7631091040,61
Mali,2017,18512430,3.04 %,546987,-40000,16.0,6.26,15,41.6 %,7708268,0.25 %,7547858925,61
Mali,2016,17965443,3.02 %,526665,-40000,16.0,6.26,15,40.9 %,7338892,0.24 %,7464022049,62
Mali,2015,17438778,2.99 %,477885,-60490,16.0,6.35,14,40.1 %,6985593,0.24 %,7379797139,64
Mali,2010,15049353,3.33 %,454767,-20165,16.2,6.70,12,36.1 %,5426927,0.22 %,6956823603,65
Mali,2005,12775516,3.14 %,365814,-13422,16.5,6.85,10,32.1 %,4103334,0.20 %,6541907027,68
Mali,2000,10946445,2.69 %,272158,-28390,16.6,6.95,9,28.4 %,3110018,0.18 %,6143493823,72
Mali,1995,9585653,2.55 %,227148,-34698,16.5,7.15,8,25.6 %,2450930,0.17 %,5744212979,77
Mali,1990,8449913,1.53 %,123605,-98796,16.5,7.15,7,23.4 %,1974293,0.16 %,5327231061,79
Mali,1985,7831889,2.01 %,148353,-43613,17.4,7.15,6,21.0 %,1645712,0.16 %,4870921740,76
Mali,1980,7090126,1.81 %,121570,-35000,17.9,7.15,6,18.5 %,1310570,0.16 %,4458003514,77
Mali,1975,6482278,1.73 %,106647,-19117,18.5,7.15,5,16.2 %,1052952,0.16 %,4079480606,75
Mali,1970,5949045,1.33 %,76112,-19647,18.8,7.10,5,14.3 %,852497,0.16 %,3700437046,74
Mali,1965,5568484,1.13 %,60950,-14049,19.3,7.00,5,12.6 %,702069,0.17 %,3339583597,69
Mali,1960,5263733,1.13 %,57667,-9814,19.5,6.95,4,11.1 %,582508,0.17 %,3034949748,71
Mali,1955,4975398,1.11 %,53394,-7006,20.1,6.95,4,9.7 %,482207,0.18 %,2773019936,69
