country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Marshall Islands,2019,58791,0.65 %,378,327,70.1 %,41195,0.00 %,7713468100,207
Marshall Islands,2018,58413,0.61 %,355,325,70.1 %,40955,0.00 %,7631091040,207
Marshall Islands,2017,58058,0.56 %,323,323,70.1 %,40714,0.00 %,7547858925,207
Marshall Islands,2016,57735,0.52 %,296,321,70.1 %,40451,0 %,7464022049,207
Marshall Islands,2015,57439,0.38 %,215,319,69.9 %,40175,0 %,7379797139,207
Marshall Islands,2010,56366,0.4 %,222,313,68.4 %,38568,0 %,6956823603,208
Marshall Islands,2005,55258,1.72 %,901,307,67 %,37031,0 %,6541907027,209
Marshall Islands,2000,50753,0.12 %,59,282,70.5 %,35771,0 %,6143493823,209
Marshall Islands,1995,50457,1.31 %,637,280,67.5 %,34041,0 %,5744212979,208
Marshall Islands,1990,47271,4.28 %,1788,263,65.1 %,30769,0 %,5327231061,209
Marshall Islands,1985,38333,4.63 %,1551,213,61.9 %,23745,0 %,4870921740,210
Marshall Islands,1980,30576,3.64 %,1000,170,58.3 %,17825,0 %,4458003514,210
Marshall Islands,1975,25576,4.63 %,1036,142,60.6 %,15507,0 %,4079480606,211
Marshall Islands,1970,20395,3.37 %,622,113,53.5 %,10910,0 %,3700437046,214
Marshall Islands,1965,17284,3.35 %,524,96,23.4 %,4040,0 %,3339583597,214
Marshall Islands,1960,14662,1.08 %,154,81,35.6 %,5217,0 %,3034949748,214
Marshall Islands,1955,13894,1.34 %,179,77,29.1 %,4040,0 %,2773019936,214
