country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Martinique,2020,375265,-0.08 %,-289,-960,47.0,1.88,354,91.6 %,343595,0.00 %,7794798739,179
Martinique,2019,375554,-0.03 %,-119,-960,45.4,1.96,354,91.4 %,343282,0.00 %,7713468100,179
Martinique,2018,375673,-0.07 %,-275,-960,45.4,1.96,354,91.3 %,342898,0.00 %,7631091040,179
Martinique,2017,375948,-0.22 %,-843,-960,45.4,1.96,355,91.1 %,342625,0.00 %,7547858925,178
Martinique,2016,376791,-0.45 %,-1687,-960,45.4,1.96,355,91.0 %,342721,0.01 %,7464022049,178
Martinique,2015,378478,-0.83 %,-3237,-4527,45.0,1.98,357,90.7 %,343326,0.01 %,7379797139,177
Martinique,2010,394663,-0.13 %,-505,-2823,40.5,2.04,372,89.1 %,351666,0.01 %,6956823603,175
Martinique,2005,397190,0.52 %,2037,-802,37.4,1.93,375,89.3 %,354729,0.01 %,6541907027,175
Martinique,2000,387004,0.97 %,3654,508,34.1,1.90,365,89.7 %,347193,0.01 %,6143493823,174
Martinique,1995,368732,0.57 %,2057,-1350,31.4,1.96,348,88.4 %,326044,0.01 %,5744212979,173
Martinique,1990,358449,1.07 %,3715,-47,28.3,2.14,338,86.3 %,309282,0.01 %,5327231061,171
Martinique,1985,339876,0.87 %,2884,-328,26.0,2.14,321,83.8 %,284886,0.01 %,4870921740,171
Martinique,1980,325454,-0.15 %,-477,-4136,23.5,2.65,307,79.6 %,259100,0.01 %,4458003514,168
Martinique,1975,327838,0.17 %,565,-5416,19.0,4.08,309,71.2 %,233419,0.01 %,4079480606,165
Martinique,1970,325011,0.88 %,2777,-4616,19.1,5.00,307,61.0 %,198316,0.01 %,3700437046,162
Martinique,1965,311127,2.01 %,5901,-1639,17.9,5.45,294,50.0 %,155417,0.01 %,3339583597,162
Martinique,1960,281622,2.77 %,7189,7,19.2,5.71,266,40.1 %,112900,0.01 %,3034949748,162
Martinique,1955,245675,2.05 %,4735,-1601,19.9,5.71,232,33.6 %,82620,0.01 %,2773019936,162
