country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mexico,2020,128932753,1.06 %,1357224,-60000,29.2,2.14,66,83.8 %,108074410,1.65 %,7794798739,10
Mexico,2019,127575529,1.10 %,1384741,-60000,28.0,2.26,66,83.4 %,106450227,1.65 %,7713468100,10
Mexico,2018,126190788,1.13 %,1413464,-60000,28.0,2.26,65,83.1 %,104811498,1.65 %,7631091040,11
Mexico,2017,124777324,1.17 %,1443948,-60000,28.0,2.26,64,82.7 %,103158751,1.65 %,7547858925,11
Mexico,2016,123333376,1.21 %,1475118,-60000,28.0,2.26,63,82.3 %,101492232,1.65 %,7464022049,11
Mexico,2015,121858258,1.33 %,1553059,-84495,27.7,2.29,63,81.9 %,99812701,1.65 %,7379797139,11
Mexico,2010,114092963,1.48 %,1617552,-112481,26.2,2.40,59,80.0 %,91292115,1.64 %,6956823603,11
Mexico,2005,106005203,1.40 %,1421072,-441223,24.7,2.61,55,78.1 %,82773323,1.62 %,6541907027,11
Mexico,2000,98899845,1.53 %,1447312,-459294,22.9,2.85,51,76.9 %,76007411,1.61 %,6143493823,11
Mexico,1995,91663285,1.78 %,1544031,-403707,21.3,3.23,47,75.3 %,68998980,1.60 %,5744212979,11
Mexico,1990,83943132,2.01 %,1591929,-367107,19.7,3.75,43,72.6 %,60961783,1.58 %,5327231061,11
Mexico,1985,75983485,2.32 %,1644423,-254640,18.5,4.37,39,70.2 %,53340061,1.56 %,4870921740,12
Mexico,1980,67761372,2.60 %,1630684,-250763,17.4,5.33,35,67.9 %,46013540,1.52 %,4458003514,12
Mexico,1975,59607953,2.97 %,1622878,-184076,16.9,6.32,31,64.1 %,38203008,1.46 %,4079480606,12
Mexico,1970,51493565,3.14 %,1473942,-123217,16.7,6.75,26,59.6 %,30708514,1.39 %,3700437046,14
Mexico,1965,44123853,3.16 %,1270399,-81817,16.8,6.75,23,55.6 %,24512097,1.32 %,3339583597,16
Mexico,1960,37771859,3.15 %,1084253,-57497,17.2,6.78,19,51.3 %,19374402,1.24 %,3034949748,16
Mexico,1955,32350596,2.97 %,881185,-46382,17.8,6.75,17,47.0 %,15220256,1.17 %,2773019936,16
