country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Monaco,2019,38964,0.73 %,282,26150,N.A.,N.A.,0.00 %,7713468100,214
Monaco,2018,38682,0.76 %,290,25961,N.A.,N.A.,0.00 %,7631091040,214
Monaco,2017,38392,0.85 %,322,25766,N.A.,N.A.,0.00 %,7547858925,214
Monaco,2016,38070,0.93 %,352,25550,N.A.,N.A.,0 %,7464022049,214
Monaco,2015,37718,1.16 %,421,25314,N.A.,N.A.,0 %,7379797139,214
Monaco,2010,35612,1.02 %,354,23901,N.A.,N.A.,0 %,6956823603,215
Monaco,2005,33843,1.03 %,339,22713,99.9 %,33793,0 %,6541907027,215
Monaco,2000,32147,0.91 %,286,21575,99.8 %,32082,0 %,6143493823,215
Monaco,1995,30716,0.85 %,256,20615,99.9 %,30691,0 %,5744212979,215
Monaco,1990,29438,0.42 %,121,19757,N.A.,N.A.,0 %,5327231061,213
Monaco,1985,28832,1.51 %,417,19350,N.A.,N.A.,0 %,4870921740,212
Monaco,1980,26745,1.2 %,309,17950,N.A.,N.A.,0 %,4458003514,212
Monaco,1975,25198,1.42 %,343,16911,100 %,25197,0 %,4079480606,212
Monaco,1970,23484,0.17 %,40,15761,N.A.,N.A.,0 %,3700437046,211
Monaco,1965,23282,0.73 %,166,15626,84.4 %,19655,0 %,3339583597,209
Monaco,1960,22452,2.7 %,559,15068,N.A.,N.A.,0 %,3034949748,209
Monaco,1955,19655,-0.34 %,-68,13191,N.A.,N.A.,0 %,2773019936,209
