country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Morocco,2020,36910560,1.20 %,438791,-51419,29.5,2.42,83,63.8 %,23551599,0.47 %,7794798739,40
Morocco,2019,36471769,1.23 %,442676,-51419,28.2,2.56,82,63.3 %,23077900,0.47 %,7713468100,40
Morocco,2018,36029093,1.26 %,447838,-51419,28.2,2.56,81,62.7 %,22602743,0.47 %,7631091040,40
Morocco,2017,35581255,1.30 %,454972,-51419,28.2,2.56,80,62.2 %,22125702,0.47 %,7547858925,40
Morocco,2016,35126283,1.33 %,462680,-51419,28.2,2.56,79,61.6 %,21645998,0.47 %,7464022049,40
Morocco,2015,34663603,1.40 %,464043,-73422,27.9,2.60,78,61.1 %,21163594,0.47 %,7379797139,39
Morocco,2010,32343389,1.21 %,377566,-113028,26.4,2.53,72,58.1 %,18803302,0.46 %,6956823603,38
Morocco,2005,30455561,1.13 %,332376,-130964,24.5,2.67,68,55.3 %,16839654,0.47 %,6541907027,37
Morocco,2000,28793679,1.30 %,359886,-106516,22.7,2.97,65,53.4 %,15386939,0.47 %,6143493823,36
Morocco,1995,26994250,1.70 %,437358,-93325,21.1,3.70,60,51.8 %,13995788,0.47 %,5744212979,36
Morocco,1990,24807462,1.97 %,461670,-86037,19.8,4.43,56,48.5 %,12039279,0.47 %,5327231061,35
Morocco,1985,22499110,2.39 %,501820,-64132,18.7,5.40,50,44.9 %,10091997,0.46 %,4870921740,34
Morocco,1980,19990012,2.35 %,438770,-61968,17.8,5.90,45,41.3 %,8250172,0.45 %,4458003514,34
Morocco,1975,17796164,2.14 %,358287,-101789,16.8,6.40,40,37.7 %,6714483,0.44 %,4079480606,34
Morocco,1970,16004731,2.38 %,354914,-94947,16.2,6.85,36,34.5 %,5516314,0.43 %,3700437046,34
Morocco,1965,14230163,2.91 %,380326,-47960,16.3,7.10,32,31.9 %,4533672,0.43 %,3339583597,35
Morocco,1960,12328532,3.26 %,365173,-2600,18.1,6.90,28,29.4 %,3619334,0.41 %,3034949748,34
Morocco,1955,10502666,3.17 %,303335,0,19.2,6.61,24,27.7 %,2913419,0.38 %,2773019936,35
