country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mozambique,2020,31255435,2.93 %,889399,-5000,17.6,4.89,40,38.3 %,11978439,0.40 %,7794798739,46
Mozambique,2019,30366036,2.95 %,870032,-5000,17.2,5.16,39,37.8 %,11472938,0.39 %,7713468100,47
Mozambique,2018,29496004,2.96 %,846986,-5000,17.2,5.16,38,37.2 %,10986620,0.39 %,7631091040,47
Mozambique,2017,28649018,2.94 %,819080,-5000,17.2,5.16,36,36.7 %,10519046,0.38 %,7547858925,48
Mozambique,2016,27829938,2.91 %,787936,-5000,17.2,5.16,35,36.2 %,10069035,0.37 %,7464022049,48
Mozambique,2015,27042002,2.82 %,702086,-5000,17.1,5.23,34,35.6 %,9635602,0.37 %,7379797139,48
Mozambique,2010,23531574,2.80 %,607530,-8000,17.0,5.54,30,32.8 %,7709657,0.34 %,6956823603,49
Mozambique,2005,20493925,2.96 %,556400,6001,17.3,5.80,26,30.6 %,6276808,0.31 %,6541907027,51
Mozambique,2000,17711927,2.73 %,445728,-10000,17.6,5.85,23,29.7 %,5257395,0.29 %,6143493823,53
Mozambique,1995,15483286,3.58 %,499199,128474,17.7,6.10,20,28.0 %,4332986,0.27 %,5744212979,54
Mozambique,1990,12987292,0.35 %,44581,-267212,16.5,6.30,17,25.5 %,3311912,0.24 %,5327231061,55
Mozambique,1985,12764387,1.88 %,226839,-75276,17.8,6.40,16,18.6 %,2379536,0.26 %,4870921740,54
Mozambique,1980,11630194,2.73 %,292996,17475,18.3,6.55,15,13.4 %,1558995,0.26 %,4458003514,53
Mozambique,1975,10165215,2.41 %,228495,-4700,18.2,6.68,13,11.1 %,1124358,0.25 %,4079480606,55
Mozambique,1970,9022741,2.34 %,196705,-4700,18.4,6.71,11,9.1 %,823643,0.24 %,3700437046,57
Mozambique,1965,8039215,2.27 %,170869,-4700,18.7,6.56,10,8.0 %,644765,0.24 %,3339583597,63
Mozambique,1960,7184869,2.00 %,135294,-4700,19.0,6.34,9,7.1 %,507470,0.24 %,3034949748,62
Mozambique,1955,6508398,1.78 %,109886,-4700,19.2,6.34,8,6.3 %,411022,0.23 %,2773019936,63
