country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
New Caledonia,2020,285498,0.97 %,2748,502,33.6,1.97,16,71.9 %,205195,0.00 %,7794798739,184
New Caledonia,2019,282750,0.98 %,2757,502,32.3,2.14,15,71.3 %,201492,0.00 %,7713468100,184
New Caledonia,2018,279993,1.03 %,2843,502,32.3,2.14,15,70.6 %,197787,0.00 %,7631091040,184
New Caledonia,2017,277150,1.08 %,2959,502,32.3,2.14,15,70.0 %,194085,0.00 %,7547858925,183
New Caledonia,2016,274191,1.15 %,3126,502,32.3,2.14,15,69.4 %,190387,0.00 %,7464022049,184
New Caledonia,2015,271065,1.35 %,3508,601,32.0,2.18,15,68.9 %,186694,0.00 %,7379797139,184
New Caledonia,2010,253527,1.41 %,3417,341,30.6,2.28,14,66.4 %,168452,0.00 %,6956823603,183
New Caledonia,2005,236442,1.71 %,3835,800,28.6,2.32,13,62.9 %,148837,0.00 %,6541907027,183
New Caledonia,2000,217269,2.37 %,4795,1415,27.2,2.59,12,60.7 %,131807,0.00 %,6143493823,183
New Caledonia,1995,193293,2.56 %,4591,1266,25.3,2.92,11,59.5 %,114988,0.00 %,5744212979,183
New Caledonia,1990,170336,1.78 %,2871,-98,23.3,3.12,9,59.4 %,101154,0.00 %,5327231061,183
New Caledonia,1985,155982,1.45 %,2168,-658,22.2,3.34,9,58.8 %,91770,0.00 %,4870921740,184
New Caledonia,1980,145144,2.19 %,2976,6,21.5,3.91,8,57.4 %,83351,0.00 %,4458003514,184
New Caledonia,1975,130264,4.34 %,4988,1638,21.3,5.20,7,55.2 %,71861,0.00 %,4079480606,184
New Caledonia,1970,105324,2.92 %,2825,281,21.5,5.21,6,51.2 %,53960,0.00 %,3700437046,185
New Caledonia,1965,91200,3.16 %,2629,669,21.6,5.22,5,44.6 %,40717,0.00 %,3339583597,186
New Caledonia,1960,78056,2.87 %,2062,491,22.0,5.22,4,37.4 %,29162,0.00 %,3034949748,187
New Caledonia,1955,67748,0.89 %,585,-692,22.4,5.22,4,30.6 %,20732,0.00 %,2773019936,186
