country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Niger,2020,24206644,3.84 %,895929,4000,15.2,6.95,19,16.5 %,4002638,0.31 %,7794798739,56
Niger,2019,23310715,3.87 %,867893,4000,15.0,7.27,18,16.4 %,3828158,0.30 %,7713468100,57
Niger,2018,22442822,3.89 %,840440,4000,15.0,7.27,18,16.3 %,3664692,0.29 %,7631091040,57
Niger,2017,21602382,3.91 %,813584,4000,15.0,7.27,17,16.3 %,3511445,0.29 %,7547858925,57
Niger,2016,20788798,3.94 %,787135,4000,15.0,7.27,16,16.2 %,3367638,0.28 %,7464022049,58
Niger,2015,20001663,3.97 %,707528,3782,14.9,7.35,16,16.2 %,3232583,0.27 %,7379797139,58
Niger,2010,16464025,3.86 %,567912,-4000,15.0,7.55,13,16.2 %,2664321,0.24 %,6956823603,62
Niger,2005,13624467,3.75 %,458582,-1899,15.4,7.65,11,16.2 %,2211934,0.21 %,6541907027,64
Niger,2000,11331557,3.61 %,368254,-1989,15.9,7.70,9,16.2 %,1837604,0.18 %,6143493823,68
Niger,1995,9490288,3.41 %,292739,-536,16.0,7.75,7,15.8 %,1494849,0.17 %,5744212979,78
Niger,1990,8026591,3.02 %,222119,-15583,15.8,7.80,6,15.3 %,1231448,0.15 %,5327231061,82
Niger,1985,6915997,2.92 %,185399,-18589,15.7,7.90,5,14.5 %,1005293,0.14 %,4870921740,83
Niger,1980,5989004,2.93 %,160813,-3628,16.0,7.75,5,13.4 %,805091,0.13 %,4458003514,85
Niger,1975,5184941,2.83 %,134859,-2753,15.7,7.60,4,11.4 %,592068,0.13 %,4079480606,84
Niger,1970,4510644,2.88 %,119305,-2309,15.6,7.55,4,8.8 %,396646,0.12 %,3700437046,89
Niger,1965,3914117,2.92 %,105071,-2309,15.6,7.50,3,6.8 %,266487,0.12 %,3339583597,93
Niger,1960,3388764,2.77 %,86645,-5025,15.8,7.40,3,5.8 %,196327,0.11 %,3034949748,93
Niger,1955,2955541,2.92 %,79168,1000,15.6,7.30,2,5.3 %,156807,0.11 %,2773019936,93
