country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Oman,2020,5106626,2.65 %,131640,87400,30.6,2.93,16,87.0 %,4442970,0.07 %,7794798739,120
Oman,2019,4974986,3.01 %,145513,87400,29.3,2.91,16,85.9 %,4273762,0.06 %,7713468100,122
Oman,2018,4829473,3.51 %,163545,87400,29.3,2.91,16,84.5 %,4083206,0.06 %,7631091040,122
Oman,2017,4665928,4.17 %,186709,87400,29.3,2.91,15,83.0 %,3874042,0.06 %,7547858925,125
Oman,2016,4479219,4.96 %,211871,87400,29.3,2.91,14,81.5 %,3650429,0.06 %,7464022049,126
Oman,2015,4267348,7.01 %,245183,177156,29.0,2.90,14,80.1 %,3416565,0.06 %,7379797139,126
Oman,2010,3041434,3.91 %,106037,53400,26.2,2.90,10,75.2 %,2285997,0.04 %,6956823603,136
Oman,2005,2511251,2.06 %,48656,3000,22.9,3.20,8,72.4 %,1818164,0.04 %,6541907027,140
Oman,2000,2267973,0.57 %,12739,-38674,20.9,4.46,7,71.6 %,1623172,0.04 %,6143493823,141
Oman,1995,2204277,4.00 %,78423,20940,20.9,6.27,7,71.7 %,1579777,0.04 %,5744212979,139
Oman,1990,1812161,3.88 %,62749,2234,17.9,7.85,6,66.1 %,1197883,0.03 %,5327231061,144
Oman,1985,1498418,5.36 %,68808,16300,17.5,8.32,5,57.1 %,855282,0.03 %,4870921740,145
Oman,1980,1154377,5.53 %,54466,15282,17.6,8.10,4,47.6 %,549043,0.03 %,4458003514,145
Oman,1975,882047,4.03 %,31639,5094,17.1,7.41,3,38.2 %,337059,0.02 %,4079480606,148
Oman,1970,723851,2.98 %,19768,-1000,16.9,7.31,2,29.7 %,214732,0.02 %,3700437046,148
Oman,1965,625009,2.53 %,14654,-2000,17.4,7.25,2,22.3 %,139614,0.02 %,3339583597,149
Oman,1960,551740,2.16 %,11184,-2000,18.0,7.25,2,16.4 %,90485,0.02 %,3034949748,150
Oman,1955,495818,1.67 %,7880,-2000,18.5,7.25,2,12.0 %,59302,0.02 %,2773019936,149
