country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Palau,2019,18008,0.56 %,101,39,99.2 %,17869,0.00 %,7713468100,222
Palau,2018,17907,0.56 %,99,39,98 %,17556,0.00 %,7631091040,222
Palau,2017,17808,0.47 %,83,39,96.8 %,17245,0.00 %,7547858925,222
Palau,2016,17725,0.34 %,60,39,95.6 %,16939,0 %,7464022049,222
Palau,2015,17665,-0.33 %,-58,38,94.2 %,16638,0 %,7379797139,222
Palau,2010,17955,-1.92 %,-365,39,85.3 %,15315,0 %,6956823603,223
Palau,2005,19781,0.7 %,135,43,71.6 %,14163,0 %,6541907027,221
Palau,2000,19105,2.17 %,388,42,70.6 %,13487,0 %,6143493823,221
Palau,1995,17164,2.65 %,421,37,71.8 %,12324,0 %,5744212979,221
Palau,1990,15058,2.17 %,306,33,69.7 %,10500,0 %,5327231061,221
Palau,1985,13528,2.12 %,270,29,68.2 %,9228,0 %,4870921740,221
Palau,1980,12179,-1.15 %,-145,26,62.6 %,7626,0 %,4458003514,219
Palau,1975,12904,1.79 %,219,28,58.2 %,7507,0 %,4079480606,217
Palau,1970,11811,1.43 %,162,26,58 %,6855,0 %,3700437046,217
Palau,1965,11003,2.4 %,246,24,41.5 %,4570,0 %,3339583597,217
Palau,1960,9771,3.26 %,290,21,56.1 %,5479,0 %,3034949748,218
Palau,1955,8322,2.26 %,176,18,54.9 %,4570,0 %,2773019936,217
