country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Panama,2020,4314767,1.61 %,68328,11200,29.7,2.47,58,68.0 %,2934512,0.06 %,7794798739,128
Panama,2019,4246439,1.67 %,69570,11200,28.7,2.57,57,67.7 %,2876295,0.06 %,7713468100,128
Panama,2018,4176869,1.71 %,70100,11200,28.7,2.57,56,67.5 %,2818461,0.05 %,7631091040,128
Panama,2017,4106769,1.73 %,69691,11200,28.7,2.57,55,67.2 %,2761008,0.05 %,7547858925,129
Panama,2016,4037078,1.73 %,68591,11200,28.7,2.57,54,67.0 %,2703951,0.05 %,7464022049,130
Panama,2015,3968487,1.73 %,65160,5621,28.4,2.60,53,66.7 %,2647313,0.05 %,7379797139,131
Panama,2010,3642687,1.81 %,62494,4449,27.2,2.63,49,65.1 %,2373195,0.05 %,6956823603,130
Panama,2005,3330217,1.91 %,59978,3224,25.9,2.68,45,63.7 %,2120900,0.05 %,6541907027,131
Panama,2000,3030328,2.04 %,58132,1959,24.5,2.81,41,62.2 %,1884828,0.05 %,6143493823,134
Panama,1995,2739668,2.09 %,53744,391,23.1,2.92,37,58.1 %,1592910,0.05 %,5744212979,131
Panama,1990,2470947,2.17 %,50349,-1879,21.7,3.24,33,53.9 %,1331936,0.05 %,5327231061,132
Panama,1985,2219201,2.32 %,48143,-2541,20.3,3.63,30,52.1 %,1157199,0.05 %,4870921740,133
Panama,1980,1978487,2.54 %,46670,-2815,19.1,4.19,27,50.4 %,998139,0.04 %,4458003514,133
Panama,1975,1745138,2.81 %,45171,-2458,18.3,4.88,23,49.0 %,855822,0.04 %,4079480606,134
Panama,1970,1519285,2.94 %,40922,-2538,17.8,5.41,20,47.6 %,723791,0.04 %,3700437046,135
Panama,1965,1314677,3.02 %,36336,-2386,17.8,5.79,18,44.4 %,584097,0.04 %,3339583597,137
Panama,1960,1132997,2.92 %,30383,-2451,18.0,5.87,15,41.2 %,467323,0.04 %,3034949748,135
Panama,1955,981080,2.68 %,24284,-2813,18.4,5.76,13,38.5 %,377396,0.04 %,2773019936,137
