country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Russia,2020,145934462,0.04 %,62206,182456,39.6,1.82,9,73.7 %,107486269,1.87 %,7794798739,9
Russia,2019,145872256,0.09 %,138218,182456,38.8,1.72,9,73.6 %,107327101,1.89 %,7713468100,9
Russia,2018,145734038,0.14 %,203956,182456,38.8,1.72,9,73.5 %,107156855,1.91 %,7631091040,9
Russia,2017,145530082,0.18 %,254699,182456,38.8,1.72,9,73.5 %,106972626,1.93 %,7547858925,9
Russia,2016,145275383,0.20 %,290326,182456,38.8,1.72,9,73.5 %,106770279,1.95 %,7464022049,9
Russia,2015,144985057,0.21 %,301157,360120,38.6,1.70,9,73.5 %,106549491,1.96 %,7379797139,9
Russia,2010,143479274,-0.03 %,-38568,465334,38.0,1.46,9,73.5 %,105485979,2.06 %,6956823603,9
Russia,2005,143672116,-0.38 %,-546557,355620,37.3,1.30,9,73.4 %,105505958,2.20 %,6541907027,7
Russia,2000,146404903,-0.25 %,-364513,474931,36.5,1.25,9,73.3 %,107381741,2.38 %,6143493823,6
Russia,1995,148227466,0.09 %,139181,498024,35.0,1.55,9,73.4 %,108802154,2.58 %,5744212979,6
Russia,1990,147531561,0.63 %,914855,178051,33.4,2.12,9,73.4 %,108302585,2.77 %,5327231061,6
Russia,1985,142957284,0.70 %,980827,220112,32.2,2.04,9,71.9 %,102829481,2.93 %,4870921740,5
Russia,1980,138053150,0.63 %,849658,122879,31.4,1.94,8,69.8 %,96298016,3.10 %,4458003514,5
Russia,1975,133804858,0.56 %,731241,-59372,30.8,2.03,8,66.4 %,88869066,3.28 %,4079480606,4
Russia,1970,130148653,0.57 %,728983,-109944,30.8,2.02,8,62.5 %,81289925,3.52 %,3700437046,4
Russia,1965,126503736,1.08 %,1326407,-277569,28.6,2.55,8,58.2 %,73579688,3.79 %,3339583597,4
Russia,1960,119871700,1.48 %,1703280,-240591,27.2,2.82,7,53.7 %,64402146,3.95 %,3034949748,4
Russia,1955,111355300,1.61 %,1711329,6559,26.1,2.85,7,49.0 %,54512824,4.02 %,2773019936,4
