country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Rwanda,2020,12952218,2.58 %,325268,-9000,20.0,4.10,525,17.6 %,2281330,0.17 %,7794798739,76
Rwanda,2019,12626950,2.64 %,324980,-9000,19.6,4.22,512,17.5 %,2215085,0.16 %,7713468100,76
Rwanda,2018,12301970,2.68 %,321009,-9000,19.6,4.22,499,17.5 %,2151557,0.16 %,7631091040,76
Rwanda,2017,11980961,2.67 %,312134,-9000,19.6,4.22,486,17.5 %,2090744,0.16 %,7547858925,76
Rwanda,2016,11668827,2.64 %,299756,-9000,19.6,4.22,473,17.4 %,2032707,0.16 %,7464022049,76
Rwanda,2015,11369071,2.52 %,265947,-21619,19.4,4.25,461,17.4 %,1977467,0.15 %,7379797139,76
Rwanda,2010,10039338,2.58 %,239825,-15953,18.9,4.85,407,17.3 %,1735198,0.14 %,6956823603,83
Rwanda,2005,8840215,2.19 %,181307,-14520,18.1,5.40,358,17.2 %,1520718,0.14 %,6541907027,89
Rwanda,2000,7933681,6.33 %,419437,248993,17.4,5.90,322,15.1 %,1197920,0.13 %,6143493823,92
Rwanda,1995,5836495,-4.35 %,-290477,-274854,18.3,6.55,237,10.0 %,583164,0.10 %,5744212979,96
Rwanda,1990,7288882,3.47 %,228398,6000,15.3,7.80,295,5.4 %,391898,0.14 %,5327231061,85
Rwanda,1985,6146891,3.59 %,198716,-10000,15.2,8.38,249,5.0 %,309499,0.13 %,4870921740,91
Rwanda,1980,5153312,3.38 %,157721,-4000,16.0,8.43,209,4.7 %,242682,0.12 %,4458003514,91
Rwanda,1975,4364706,3.04 %,121470,-4000,16.3,8.28,177,4.0 %,174257,0.11 %,4079480606,96
Rwanda,1970,3757358,3.04 %,104365,4000,16.0,8.20,152,3.2 %,119936,0.10 %,3700437046,99
Rwanda,1965,3235531,1.96 %,59990,-28000,15.4,8.20,131,2.9 %,93184,0.10 %,3339583597,104
Rwanda,1960,2935582,3.04 %,81658,0,16.3,8.15,119,2.6 %,76269,0.10 %,3034949748,101
Rwanda,1955,2527294,2.94 %,68222,0,17.5,8.00,102,2.3 %,59211,0.09 %,2773019936,104
