country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saint Barthelemy,2019,9847,0.32 %,31,469,0 %,0,0.00 %,7713468100,228
Saint Barthelemy,2018,9816,0.33 %,32,467,0 %,0,0.00 %,7631091040,228
Saint Barthelemy,2017,9784,0.37 %,36,466,0 %,0,0.00 %,7547858925,228
Saint Barthelemy,2016,9748,0.57 %,55,464,0 %,0,0 %,7464022049,228
Saint Barthelemy,2015,9693,0.97 %,92,462,0 %,0,0 %,7379797139,228
Saint Barthelemy,2010,9234,1.54 %,136,440,0 %,0,0 %,6956823603,228
Saint Barthelemy,2005,8553,2.86 %,225,407,0 %,0,0 %,6541907027,228
Saint Barthelemy,2000,7427,3.13 %,212,354,0 %,0,0 %,6143493823,228
Saint Barthelemy,1995,6367,3.58 %,206,303,0 %,0,0 %,5744212979,230
Saint Barthelemy,1990,5339,9.65 %,394,254,0 %,0,0 %,5327231061,231
Saint Barthelemy,1985,3368,1.79 %,57,160,0 %,0,0 %,4870921740,231
Saint Barthelemy,1980,3082,3.38 %,94,147,0 %,0,0 %,4458003514,232
Saint Barthelemy,1975,2610,2.18 %,53,124,0 %,0,0 %,4079480606,232
Saint Barthelemy,1970,2343,-0.33 %,-8,112,0 %,0,0 %,3700437046,232
Saint Barthelemy,1965,2382,0.67 %,16,113,0 %,0,0 %,3339583597,231
Saint Barthelemy,1960,2304,0.52 %,12,110,0 %,0,0 %,3034949748,232
Saint Barthelemy,1955,2245,2.32 %,49,107,0 %,0,0 %,2773019936,231
