country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saint Helena,2019,6059,0.4 %,24,16,27 %,1636,0.00 %,7713468100,229
Saint Helena,2018,6035,0.45 %,27,15,26.9 %,1622,0.00 %,7631091040,229
Saint Helena,2017,6008,0.87 %,52,15,26.7 %,1607,0.00 %,7547858925,229
Saint Helena,2016,5956,1.55 %,91,15,26.8 %,1598,0 %,7464022049,229
Saint Helena,2015,5865,2.5 %,136,15,27.2 %,1595,0 %,7379797139,230
Saint Helena,2010,5183,-0.68 %,-36,13,31.8 %,1650,0 %,6956823603,230
Saint Helena,2005,5364,-2.38 %,-137,14,31.8 %,1706,0 %,6541907027,230
Saint Helena,2000,6049,-0.64 %,-40,16,34.1 %,2064,0 %,6143493823,230
Saint Helena,1995,6247,-1.23 %,-80,16,34.9 %,2183,0 %,5744212979,231
Saint Helena,1990,6647,-0.5 %,-34,17,35.4 %,2356,0 %,5327231061,229
Saint Helena,1985,6817,0.7 %,47,17,35.6 %,2430,0 %,4870921740,229
Saint Helena,1980,6582,1.09 %,69,17,35.4 %,2332,0 %,4458003514,229
Saint Helena,1975,6235,1.84 %,109,16,36.9 %,2302,0 %,4079480606,228
Saint Helena,1970,5692,1.33 %,73,15,39.8 %,2266,0 %,3700437046,229
Saint Helena,1965,5328,-0.13 %,-7,14,46.7 %,2486,0 %,3339583597,224
Saint Helena,1960,5364,0.07 %,4,14,43.5 %,2336,0 %,3034949748,225
Saint Helena,1955,5345,0.37 %,20,14,46.5 %,2486,0 %,2773019936,224
