country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saint Kitts And Nevis,2019,52823,0.73 %,382,203,32.9 %,17354,0.00 %,7713468100,211
Saint Kitts And Nevis,2018,52441,0.76 %,396,202,32.8 %,17188,0.00 %,7631091040,211
Saint Kitts And Nevis,2017,52045,0.81 %,420,200,32.7 %,17031,0.00 %,7547858925,211
Saint Kitts And Nevis,2016,51625,0.82 %,422,199,32.7 %,16879,0 %,7464022049,211
Saint Kitts And Nevis,2015,51203,0.88 %,437,197,32.7 %,16736,0 %,7379797139,211
Saint Kitts And Nevis,2010,49016,0.9 %,432,189,32.9 %,16114,0 %,6956823603,211
Saint Kitts And Nevis,2005,46857,1.23 %,557,180,33.2 %,15569,0 %,6541907027,212
Saint Kitts And Nevis,2000,44074,0.93 %,400,170,33.7 %,14873,0 %,6143493823,211
Saint Kitts And Nevis,1995,42074,0.89 %,363,162,34.4 %,14461,0 %,5744212979,211
Saint Kitts And Nevis,1990,40259,-0.78 %,-321,155,35.1 %,14132,0 %,5327231061,211
Saint Kitts And Nevis,1985,41866,-0.63 %,-268,161,35.4 %,14807,0 %,4870921740,208
Saint Kitts And Nevis,1980,43205,-0.49 %,-213,166,35.9 %,15505,0 %,4458003514,207
Saint Kitts And Nevis,1975,44272,-0.27 %,-122,170,35 %,15509,0 %,4079480606,206
Saint Kitts And Nevis,1970,44883,-1.83 %,-866,173,34.1 %,15324,0 %,3700437046,205
Saint Kitts And Nevis,1965,49214,-0.79 %,-396,189,26.6 %,13101,0 %,3339583597,195
Saint Kitts And Nevis,1960,51195,1.09 %,541,197,27.6 %,14152,0 %,3034949748,195
Saint Kitts And Nevis,1955,48492,1.04 %,489,187,27 %,13101,0 %,2773019936,195
