country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saint Martin,2019,38002,1.98 %,738,717,0 %,0,0.00 %,7713468100,217
Saint Martin,2018,37264,1.93 %,704,703,0 %,0,0.00 %,7631091040,217
Saint Martin,2017,36560,1.37 %,495,690,0 %,0,0.00 %,7547858925,217
Saint Martin,2016,36065,0.58 %,207,680,0 %,0,0 %,7464022049,217
Saint Martin,2015,35858,-0.93 %,-345,677,0 %,0,0 %,7379797139,217
Saint Martin,2010,37582,1.88 %,667,709,0 %,0,0 %,6956823603,213
Saint Martin,2005,34248,3.43 %,1063,646,0 %,0,0 %,6541907027,214
Saint Martin,2000,28935,1.15 %,323,546,0 %,0,0 %,6143493823,217
Saint Martin,1995,27321,-2.82 %,-840,515,0 %,0,0 %,5744212979,217
Saint Martin,1990,31520,23.3 %,4092,595,0 %,0,0 %,5327231061,212
Saint Martin,1985,11061,4.75 %,458,209,0 %,0,0 %,4870921740,223
Saint Martin,1980,8771,4.97 %,378,165,0 %,0,0 %,4458003514,224
Saint Martin,1975,6881,3.79 %,234,130,0 %,0,0 %,4079480606,226
Saint Martin,1970,5712,5.04 %,249,108,0 %,0,0 %,3700437046,228
Saint Martin,1965,4468,2.79 %,115,84,0 %,0,0 %,3339583597,230
Saint Martin,1960,3893,2.7 %,97,73,0 %,0,0 %,3034949748,230
Saint Martin,1955,3408,2.56 %,81,64,0 %,0,0 %,2773019936,230
