country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saint Pierre And Miquelon,2019,5822,-0.46 %,-27,25,98.8 %,5754,0.00 %,7713468100,230
Saint Pierre And Miquelon,2018,5849,-0.65 %,-38,25,97.8 %,5723,0.00 %,7631091040,230
Saint Pierre And Miquelon,2017,5887,-0.79 %,-47,26,96.5 %,5682,0.00 %,7547858925,230
Saint Pierre And Miquelon,2016,5934,-0.98 %,-59,26,95.5 %,5668,0 %,7464022049,230
Saint Pierre And Miquelon,2015,5993,-1.16 %,-72,26,94.8 %,5682,0 %,7379797139,229
Saint Pierre And Miquelon,2010,6353,0.74 %,46,28,88.8 %,5640,0 %,6956823603,229
Saint Pierre And Miquelon,2005,6123,-0.55 %,-34,27,91.9 %,5627,0 %,6541907027,229
Saint Pierre And Miquelon,2000,6294,-0.31 %,-20,27,88.9 %,5597,0 %,6143493823,229
Saint Pierre And Miquelon,1995,6392,-0 %,0,28,87.7 %,5606,0 %,5744212979,229
Saint Pierre And Miquelon,1990,6393,1.2 %,74,28,87.3 %,5581,0 %,5327231061,230
Saint Pierre And Miquelon,1985,6024,-0.35 %,-21,26,91 %,5483,0 %,4870921740,230
Saint Pierre And Miquelon,1980,6131,0.41 %,25,27,87.6 %,5369,0 %,4458003514,230
Saint Pierre And Miquelon,1975,6006,1.58 %,91,26,87.1 %,5232,0 %,4079480606,230
Saint Pierre And Miquelon,1970,5552,1.42 %,76,24,86.9 %,4824,0 %,3700437046,230
Saint Pierre And Miquelon,1965,5173,0.8 %,40,22,76.2 %,3942,0 %,3339583597,227
Saint Pierre And Miquelon,1960,4971,0.89 %,43,22,85.5 %,4251,0 %,3034949748,227
Saint Pierre And Miquelon,1955,4755,0.79 %,37,21,82.9 %,3942,0 %,2773019936,227
