country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saudi Arabia,2020,34813871,1.59 %,545343,134979,31.8,2.34,16,84.0 %,29255576,0.45 %,7794798739,41
Saudi Arabia,2019,34268528,1.68 %,565772,134979,30.3,2.64,16,83.8 %,28700362,0.44 %,7713468100,41
Saudi Arabia,2018,33702756,1.82 %,601577,134979,30.3,2.64,16,83.5 %,28133138,0.44 %,7631091040,41
Saudi Arabia,2017,33101179,2.03 %,657732,134979,30.3,2.64,15,83.2 %,27543623,0.44 %,7547858925,41
Saudi Arabia,2016,32443447,2.29 %,725780,134979,30.3,2.64,15,83.0 %,26918214,0.43 %,7464022049,41
Saudi Arabia,2015,31717667,2.95 %,859241,344561,30.0,2.73,15,82.8 %,26249243,0.43 %,7379797139,41
Saudi Arabia,2010,27421461,2.86 %,721056,214619,26.0,3.23,13,82.1 %,22512101,0.39 %,6956823603,45
Saudi Arabia,2005,23816183,2.88 %,630468,149599,23.7,3.65,11,81.3 %,19358664,0.36 %,6541907027,47
Saudi Arabia,2000,20663843,2.08 %,405011,-70000,21.3,4.40,10,80.2 %,16579826,0.34 %,6143493823,49
Saudi Arabia,1995,18638787,2.80 %,481000,-22000,19.4,5.55,9,79.1 %,14739559,0.32 %,5744212979,48
Saudi Arabia,1990,16233785,4.35 %,622958,143365,19.5,6.22,8,77.0 %,12503513,0.30 %,5327231061,51
Saudi Arabia,1985,13118993,6.24 %,685503,276706,19.3,7.02,6,73.0 %,9581553,0.27 %,4870921740,52
Saudi Arabia,1980,9691476,5.49 %,454397,157744,18.4,7.28,5,66.2 %,6415124,0.22 %,4458003514,61
Saudi Arabia,1975,7419493,4.92 %,316621,96664,18.0,7.30,3,58.4 %,4334558,0.18 %,4079480606,71
Saudi Arabia,1970,5836389,3.80 %,198551,37401,18.0,7.26,3,48.7 %,2840506,0.16 %,3700437046,76
Saudi Arabia,1965,4843635,3.46 %,151419,25198,18.2,7.26,2,38.8 %,1877805,0.15 %,3339583597,84
Saudi Arabia,1960,4086539,2.81 %,105677,5194,18.5,7.18,2,31.3 %,1277054,0.13 %,3034949748,83
Saudi Arabia,1955,3558155,2.65 %,87364,5258,18.8,7.18,2,26.0 %,923917,0.13 %,2773019936,84
