country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Senegal,2020,16743927,2.75 %,447563,-20000,18.5,4.65,87,49.4 %,8277123,0.21 %,7794798739,70
Senegal,2019,16296364,2.79 %,442041,-20000,18.2,4.93,85,49.0 %,7978972,0.21 %,7713468100,71
Senegal,2018,15854323,2.82 %,434968,-20000,18.2,4.93,82,48.5 %,7689641,0.21 %,7631091040,71
Senegal,2017,15419355,2.84 %,425836,-20000,18.2,4.93,80,48.0 %,7408563,0.20 %,7547858925,71
Senegal,2016,14993519,2.85 %,415060,-20000,18.2,4.93,78,47.6 %,7135037,0.20 %,7464022049,71
Senegal,2015,14578459,2.83 %,380062,-42800,18.1,5.00,76,47.1 %,6868710,0.20 %,7379797139,71
Senegal,2010,12678148,2.71 %,317606,-43603,18.0,5.10,66,44.6 %,5653812,0.18 %,6956823603,72
Senegal,2005,11090116,2.51 %,258476,-40497,17.8,5.25,58,42.3 %,4693370,0.17 %,6541907027,74
Senegal,2000,9797734,2.43 %,221514,-45511,17.3,5.70,51,40.7 %,3985284,0.16 %,6143493823,79
Senegal,1995,8690164,2.92 %,232771,-15401,16.9,6.20,45,39.9 %,3464168,0.15 %,5744212979,82
Senegal,1990,7526307,3.07 %,210996,-12058,16.5,6.70,39,39.0 %,2938830,0.14 %,5327231061,84
Senegal,1985,6471327,3.00 %,177632,-17022,16.4,7.25,34,37.6 %,2434961,0.13 %,4870921740,86
Senegal,1980,5583165,2.52 %,130664,-26957,16.8,7.25,29,35.8 %,2000428,0.13 %,4458003514,89
Senegal,1975,4929846,2.98 %,134468,13117,17.7,7.25,26,33.7 %,1663175,0.12 %,4079480606,90
Senegal,1970,4257505,2.94 %,114926,17304,17.7,7.25,22,30.0 %,1277252,0.12 %,3700437046,93
Senegal,1965,3682876,2.81 %,95225,10000,17.7,7.10,19,26.4 %,970457,0.11 %,3339583597,96
Senegal,1960,3206749,2.69 %,79705,8809,18.2,6.90,17,23.0 %,737552,0.11 %,3034949748,96
Senegal,1955,2808225,2.46 %,64318,6607,18.6,6.80,15,20.0 %,560479,0.10 %,2773019936,96
