country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Singapore,2020,5850342,0.79 %,46005,27028,42.2,1.21,8358,N.A.,N.A.,0.08 %,7794798739,114
Singapore,2019,5804337,0.81 %,46838,27028,40.2,1.23,8292,N.A.,N.A.,0.08 %,7713468100,114
Singapore,2018,5757499,0.87 %,49458,27028,40.2,1.23,8225,N.A.,N.A.,0.08 %,7631091040,114
Singapore,2017,5708041,0.96 %,54407,27028,40.2,1.23,8154,N.A.,N.A.,0.08 %,7547858925,115
Singapore,2016,5653634,1.10 %,61482,27028,40.2,1.23,8077,99.4 %,5622455,0.08 %,7464022049,115
Singapore,2015,5592152,1.74 %,92196,63406,39.7,1.23,7989,99.0 %,5535262,0.08 %,7379797139,114
Singapore,2010,5131172,3.76 %,173097,144268,37.9,1.26,7330,98.9 %,5074252,0.07 %,6956823603,115
Singapore,2005,4265687,1.15 %,47363,18554,36.4,1.35,6094,N.A.,N.A.,0.07 %,6541907027,120
Singapore,2000,4028871,2.70 %,100580,64316,34.8,1.57,5756,97.1 %,3913960,0.07 %,6143493823,119
Singapore,1995,3525969,3.19 %,102601,59569,32.4,1.73,5037,98.7 %,3478779,0.06 %,5744212979,126
Singapore,1990,3012966,2.18 %,61486,23960,29.3,1.70,4304,100.0 %,3012953,0.06 %,5327231061,128
Singapore,1985,2705534,2.33 %,58769,27562,27.3,1.69,3865,N.A.,N.A.,0.06 %,4870921740,128
Singapore,1980,2411688,1.31 %,30393,2855,24.5,1.84,3445,N.A.,N.A.,0.05 %,4458003514,128
Singapore,1975,2259721,1.75 %,37488,1176,21.9,2.82,3228,N.A.,N.A.,0.06 %,4079480606,128
Singapore,1970,2072283,1.99 %,38891,-73,19.7,3.65,2960,N.A.,N.A.,0.06 %,3700437046,128
Singapore,1965,1877826,2.83 %,48939,86,18.1,5.12,2683,100.0 %,1877808,0.06 %,3339583597,131
Singapore,1960,1633130,4.59 %,65605,13605,18.8,6.34,2333,100.0 %,1633086,0.05 %,3034949748,125
Singapore,1955,1305105,5.01 %,56602,13112,19.4,6.61,1864,100.0 %,1305091,0.05 %,2773019936,131
