country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Sint Maarten,2019,42388,1.07 %,448,1247,96.6 %,40939,0.00 %,7713468100,213
Sint Maarten,2018,41940,1.2 %,496,1234,96.7 %,40552,0.00 %,7631091040,213
Sint Maarten,2017,41444,1.56 %,636,1219,96.8 %,40120,0.00 %,7547858925,213
Sint Maarten,2016,40808,2.1 %,840,1200,96.9 %,39537,0 %,7464022049,213
Sint Maarten,2015,39968,3.19 %,1160,1176,97 %,38750,0 %,7379797139,213
Sint Maarten,2010,34168,0.44 %,147,1005,96.9 %,33124,0 %,6956823603,216
Sint Maarten,2005,33434,0.53 %,174,983,97.3 %,32531,0 %,6541907027,216
Sint Maarten,2000,32564,0.89 %,281,958,97.7 %,31819,0 %,6143493823,214
Sint Maarten,1995,31160,1.58 %,470,916,98.3 %,30633,0 %,5744212979,213
Sint Maarten,1990,28812,8.54 %,1938,847,99.1 %,28549,0 %,5327231061,215
Sint Maarten,1985,19123,7.86 %,1205,562,99.5 %,19028,0 %,4870921740,217
Sint Maarten,1980,13100,6.51 %,709,385,100 %,13096,0 %,4458003514,218
Sint Maarten,1975,9557,6.84 %,539,281,N.A.,N.A.,0 %,4079480606,222
Sint Maarten,1970,6864,9.01 %,481,202,N.A.,N.A.,0 %,3700437046,223
Sint Maarten,1965,4459,9.5 %,325,131,47.3 %,2108,0 %,3339583597,233
Sint Maarten,1960,2833,6.09 %,145,83,N.A.,N.A.,0 %,3034949748,231
Sint Maarten,1955,2108,7.06 %,122,62,N.A.,N.A.,0 %,2773019936,233
