country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
South Africa,2020,59308690,1.28 %,750420,145405,27.6,2.41,49,66.7 %,39550889,0.76 %,7794798739,25
South Africa,2019,58558270,1.33 %,765752,145405,26.6,2.52,48,66.3 %,38820239,0.76 %,7713468100,24
South Africa,2018,57792518,1.37 %,782762,145405,26.6,2.52,48,65.9 %,38086769,0.76 %,7631091040,24
South Africa,2017,57009756,1.43 %,802110,145405,26.6,2.52,47,65.5 %,37348154,0.76 %,7547858925,24
South Africa,2016,56207646,1.48 %,821279,145405,26.6,2.52,46,65.1 %,36600982,0.75 %,7464022049,24
South Africa,2015,55386367,1.58 %,833881,183939,26.4,2.55,46,64.7 %,35844349,0.75 %,7379797139,24
South Africa,2010,51216964,1.36 %,667273,172444,25.0,2.63,42,62.7 %,32094811,0.74 %,6956823603,24
South Africa,2005,47880601,1.26 %,582579,157796,23.8,2.61,39,60.7 %,29065720,0.73 %,6541907027,26
South Africa,2000,44967708,1.65 %,706390,127980,22.6,2.88,37,57.9 %,26015136,0.73 %,6143493823,27
South Africa,1995,41435758,2.40 %,927050,170572,21.3,3.51,34,55.3 %,22932019,0.72 %,5744212979,27
South Africa,1990,36800509,2.40 %,824327,-23600,19.8,4.40,30,53.1 %,19545369,0.69 %,5327231061,28
South Africa,1985,32678874,2.73 %,824421,36200,19.5,4.90,27,51.0 %,16653360,0.67 %,4870921740,28
South Africa,1980,28556769,2.54 %,672316,14663,19.4,5.05,24,50.5 %,14411610,0.64 %,4458003514,28
South Africa,1975,25195187,2.68 %,625082,44532,19.3,5.50,21,50.1 %,12610547,0.62 %,4079480606,29
South Africa,1970,22069776,2.63 %,536987,39872,19.1,5.80,18,49.5 %,10919359,0.60 %,3700437046,29
South Africa,1965,19384841,2.54 %,457000,21310,19.4,6.00,16,48.6 %,9422320,0.58 %,3339583597,31
South Africa,1960,17099840,2.37 %,378668,2984,19.9,6.05,14,47.6 %,8138204,0.56 %,3034949748,31
South Africa,1955,15206502,2.22 %,315615,1492,20.6,6.05,13,44.9 %,6829341,0.55 %,2773019936,31
